"GeneID","geneSymbol","max_abs_dPSI","best_dPSI","min_FDR","n_events","event_types"
"ENSMUSG00000017677","Wsb1",0.281,-0.281,8.00498907670246e-13,1,"SE"
"ENSMUSG00000049807","Arhgap23",0.228,0.228,8.00498907670246e-13,1,"SE"
"ENSMUSG00000027624","Epb41l1",0.112,0.112,9.1430477646744e-13,1,"SE"
"ENSMUSG00000026456","Cyb5r1",0.237,-0.237,1.24102950138886e-12,1,"A3SS"
"ENSMUSG00000016346","Kcnq2",0.193,-0.193,1.25008143371497e-12,2,"SE,A5SS"
"ENSMUSG00000028751","Pla2g2e",0.219,0.219,1.30840166287909e-12,1,"SE"
"ENSMUSG00000026781","Acbd5",0.171,0.171,1.77638802543842e-12,1,"SE"
"ENSMUSG00000008892","Vdac3",0.118,0.118,2.13007389505238e-12,1,"MXE"
"ENSMUSG00000039671","Zmynd8",0.206,0.206,2.98823603224726e-12,1,"SE"
"ENSMUSG00000057858","Fam204a",0.194,-0.194,3.36818616475668e-12,6,"SE"
"ENSMUSG00000031729","Ist1",0.132,-0.132,4.52241662921251e-12,1,"RI"
"ENSMUSG00000032463","Faim",0.182,0.182,4.91114595799159e-12,1,"SE"
"ENSMUSG00000014767","Tbp",0.142,-0.142,4.91901334480113e-12,1,"RI"
"ENSMUSG00000029165","Agbl5",0.186,-0.186,4.91901334480113e-12,2,"SE,RI"
"ENSMUSG00000057738","Sptan1",0.114,0.114,5.25885650815677e-12,1,"SE"
"ENSMUSG00000017478","Zc3h18",0.143,0.143,5.86757446753883e-12,1,"SE"
"ENSMUSG00000047617","Paxx",0.138,-0.138,6.38715469403382e-12,1,"RI"
"ENSMUSG00000028248","Pnisr",0.15,-0.15,7.25576389094808e-12,1,"RI"
"ENSMUSG00000037519","Ppfia1",0.265,0.265,7.93719172020803e-12,1,"SE"
"ENSMUSG00000041757","Plekha6",0.337,0.337,8.11253084908894e-12,9,"SE,MXE"
"ENSMUSG00000040548","Tex2",0.101,-0.101,1.24102950139055e-11,1,"A3SS"
"ENSMUSG00000004980","Hnrnpa2b1",0.167,-0.167,1.60289999095546e-11,1,"SE"
"ENSMUSG00000030987","Stim1",0.188,0.188,1.77318356076807e-11,1,"SE"
"ENSMUSG00000020458","Rtn4",0.197,-0.197,1.92788115568587e-11,2,"SE,MXE"
"ENSMUSG00000022556","Hsf1",0.137,-0.137,2.03724405766665e-11,1,"RI"
"ENSMUSG00000068328","Aup1",0.104,-0.104,2.05967243261067e-11,1,"RI"
"ENSMUSG00000034799","Unc13a",0.255,-0.255,2.49896399869214e-11,1,"RI"
"ENSMUSG00000032633","Flcn",0.169,-0.169,2.50321291472888e-11,1,"A3SS"
"ENSMUSG00000085156","Snhg15",0.112,-0.112,2.76708655988589e-11,1,"A5SS"
"ENSMUSG00000053841","Txlna",0.123,-0.123,3.52027971989896e-11,1,"RI"
"ENSMUSG00000040356","Skic2",0.141,-0.141,3.79263820348647e-11,1,"RI"
"ENSMUSG00000024462","Gabbr1",0.359,0.359,5.08214924689418e-11,1,"SE"
"ENSMUSG00000032621","Srek1",0.134,0.134,5.42052117477125e-11,1,"SE"
"ENSMUSG00000025138","Sirt7",0.248,-0.248,5.80152882256624e-11,4,"SE,RI"
"ENSMUSG00000031314","Taf1",0.201,0.201,5.80152882256624e-11,1,"SE"
"ENSMUSG00000118669","Arvcf",0.166,0.166,7.88857169241047e-11,1,"SE"
"ENSMUSG00000027523","Gnas",0.15,0.15,8.39408628074766e-11,1,"SE"
"ENSMUSG00000023015","Racgap1",0.147,-0.147,1.11848013901345e-10,1,"SE"
"ENSMUSG00000032745","Gpbp1",0.147,0.147,1.12980666838728e-10,1,"SE"
"ENSMUSG00000039943","Plcb4",0.112,0.112,1.34928027767139e-10,1,"SE"
"ENSMUSG00000009073","Nf2",0.174,0.174,1.62465065210454e-10,1,"SE"
"ENSMUSG00000038225","Primpol",0.209,-0.209,1.6443475387925e-10,1,"RI"
"ENSMUSG00000097080","1700086O06Rik",0.731,0.731,1.78365023538485e-10,4,"SE"
"ENSMUSG00000032599","Ip6k2",0.216,0.216,2.0295899336164e-10,3,"SE,MXE"
"ENSMUSG00000005687","Bcas2",0.266,-0.266,2.08024660988868e-10,1,"RI"
"ENSMUSG00000022329","Stk3",0.135,0.135,2.32344502416303e-10,1,"SE"
"ENSMUSG00000033697","Arhgap39",0.25,0.25,2.32344502416303e-10,1,"SE"
"ENSMUSG00000034518","Hmgxb4",0.177,0.177,2.32344502416303e-10,3,"SE,MXE"
"ENSMUSG00000027201","Myef2",0.119,-0.119,2.52622294295534e-10,1,"SE"
"ENSMUSG00000021413","Prpf4b",0.234,-0.234,2.53480687567769e-10,1,"SE"
"ENSMUSG00000036053","Fmnl2",0.231,-0.231,2.85590662230264e-10,2,"SE,A5SS"
"ENSMUSG00000037266","Rsrp1",0.21,-0.21,2.9281417903449e-10,3,"A3SS,RI"
"ENSMUSG00000037151","Lrrc20",0.141,0.141,3.18745522513594e-10,1,"SE"
"ENSMUSG00000031561","Tenm3",0.204,0.204,3.21771505736489e-10,2,"SE"
"ENSMUSG00000067367","Lyar",0.171,-0.171,3.84837220484821e-10,2,"SE"
"ENSMUSG00000031256","Cstf2",0.19,0.19,4.26278819386534e-10,4,"SE,RI"
"ENSMUSG00000028207","Asph",0.119,0.119,4.92559853045606e-10,1,"SE"
"ENSMUSG00000041328","Pcf11",0.222,-0.222,5.43595862768369e-10,1,"A5SS"
"ENSMUSG00000004561","Mettl17",0.255,-0.255,7.72241098228578e-10,3,"SE,A5SS,RI"
"ENSMUSG00000022353","Mtss1",0.177,0.177,7.8969694359759e-10,1,"SE"
"ENSMUSG00000055762","Eef1d",0.157,0.157,7.8969694359759e-10,2,"SE"
"ENSMUSG00000029095","Ablim2",0.287,0.287,8.45108528612711e-10,2,"SE"
"ENSMUSG00000025762","Larp1b",0.113,0.113,9.02202035659034e-10,1,"SE"
"ENSMUSG00000024807","Syvn1",0.145,-0.145,9.35291371232926e-10,2,"RI"
"ENSMUSG00000035851","Ythdc1",0.13,-0.13,1.09477559240405e-09,1,"A5SS"
"ENSMUSG00000032212","Sltm",0.132,-0.132,1.40492843640743e-09,1,"SE"
"ENSMUSG00000040481","Bptf",0.128,-0.128,1.50868295563312e-09,3,"SE,MXE"
"ENSMUSG00000032254","Kif23",0.186,-0.186,1.59487473534561e-09,1,"SE"
"ENSMUSG00000060227","Golm2",0.133,-0.133,1.65054869771964e-09,1,"SE"
"ENSMUSG00000025894","Aasdhppt",0.116,-0.116,1.70612272794466e-09,1,"SE"
"ENSMUSG00000071337","Tia1",0.122,-0.122,1.72326449070029e-09,1,"A5SS"
"ENSMUSG00000021819","Zswim8",0.218,-0.218,1.78952900863536e-09,2,"RI"
"ENSMUSG00000006575","Rundc3a",0.42,-0.42,2.10490825695218e-09,1,"A3SS"
"ENSMUSG00000091568","Gm8206",0.572,-0.572,2.26252336143412e-09,1,"SE"
"ENSMUSG00000033004","Mycbp2",0.116,0.116,2.38844283871793e-09,2,"SE,MXE"
"ENSMUSG00000040354","Mars1",0.136,-0.136,4.40414144793133e-09,2,"SE,RI"
"ENSMUSG00000003863","Ppfia3",0.239,0.239,5.1877029221982e-09,1,"SE"
"ENSMUSG00000068206","Pick1",0.112,-0.112,5.77238982168904e-09,1,"RI"
"ENSMUSG00000037669","Ldah",0.127,0.127,5.77889047725667e-09,1,"MXE"
"ENSMUSG00000004994","Ccdc130",0.115,-0.115,5.80600321890986e-09,1,"SE"
"ENSMUSG00000040459","Arglu1",0.118,-0.118,5.88971810617998e-09,1,"RI"
"ENSMUSG00000066456","Hmgn3",0.181,-0.181,6.00159085391429e-09,2,"RI"
"ENSMUSG00000021156","Zmynd11",0.158,-0.158,6.6677676343313e-09,1,"A5SS"
"ENSMUSG00000026767","Mindy3",0.343,-0.343,6.6738543372281e-09,2,"SE,MXE"
"ENSMUSG00000048440","Cyp4f16",0.108,-0.108,6.77384982015622e-09,1,"SE"
"ENSMUSG00000032624","Eml4",0.239,0.239,7.77367782715381e-09,3,"SE"
"ENSMUSG00000086035","Gm12610",0.324,0.324,8.27328736591769e-09,5,"SE,MXE"
"ENSMUSG00000023953","Polh",0.176,-0.176,8.32944792351792e-09,1,"SE"
"ENSMUSG00000037805","Rpl10a",0.127,0.127,1.0811549529383e-08,1,"RI"
"ENSMUSG00000015222","Map2",0.2,-0.2,1.27542796908975e-08,1,"SE"
"ENSMUSG00000028931","Kcnab2",0.133,0.133,1.32970738018292e-08,1,"SE"
"ENSMUSG00000074758","Gm5535",0.316,0.316,1.36834780664256e-08,4,"SE"
"ENSMUSG00000016664","Pacsin2",0.132,0.132,1.47590581058568e-08,1,"SE"
"ENSMUSG00000025188","Hps1",0.196,-0.196,1.50461866795562e-08,1,"RI"
"ENSMUSG00000037697","Ddhd1",0.208,0.208,1.51614692199789e-08,3,"SE"
"ENSMUSG00000057836","Xlr3a",0.218,-0.218,1.64477289242048e-08,1,"RI"
"ENSMUSG00000009741","Ubp1",0.218,-0.218,1.78181472998122e-08,3,"SE,MXE,RI"
"ENSMUSG00000055681","Cope",0.238,-0.238,1.8429704755727e-08,1,"RI"
"ENSMUSG00000033287","Kctd17",0.118,-0.118,2.01811057122995e-08,3,"SE"
"ENSMUSG00000030409","Dmpk",0.201,-0.201,2.02220019005814e-08,2,"SE,RI"
"ENSMUSG00000015149","Sirt2",0.106,0.106,2.07061881689525e-08,1,"SE"
"ENSMUSG00000021427","Ssr1",0.156,0.156,2.10734500767394e-08,1,"SE"
"ENSMUSG00000087380","2210408F21Rik",0.599,-0.599,2.54995459858457e-08,5,"SE,A3SS,MXE,RI"
"ENSMUSG00000002265","Peg3",0.146,0.146,3.15126704685508e-08,1,"SE"
"ENSMUSG00000025792","Slc25a10",0.123,-0.123,3.25231926847681e-08,1,"RI"
"ENSMUSG00000025591","Tma16",0.129,0.129,3.39356383240859e-08,1,"A3SS"
"ENSMUSG00000021709","Erbin",0.455,-0.455,3.67696787739001e-08,4,"SE,MXE"
"ENSMUSG00000001120","Pcbp3",0.179,0.179,3.76564719817768e-08,1,"SE"
"ENSMUSG00000027692","Tnik",0.176,0.176,3.79978041575934e-08,1,"SE"
"ENSMUSG00000025006","Sorbs1",0.28,0.28,3.82068214758142e-08,7,"SE,A3SS,MXE"
"ENSMUSG00000021268","Meg3",0.553,0.553,4.13673457622211e-08,5,"SE,A3SS,MXE"
"ENSMUSG00000052949","Rnf157",0.238,0.238,4.1730234038217e-08,1,"SE"
"ENSMUSG00000038780","Smurf1",0.11,0.11,4.43877997109333e-08,1,"SE"
"ENSMUSG00000029267","Mtf2",0.145,-0.145,4.51218165962589e-08,3,"SE"
"ENSMUSG00000032413","Rasa2",0.198,-0.198,4.69237267447185e-08,2,"SE"
"ENSMUSG00000021969","Zdhhc20",0.196,0.196,6.6172500227135e-08,1,"SE"
"ENSMUSG00000026113","Inpp4a",0.23,0.23,6.96191111593124e-08,3,"SE,A5SS"
"ENSMUSG00000021843","Ktn1",0.143,-0.143,7.46915729597831e-08,1,"SE"
"ENSMUSG00000032826","Ank2",0.192,0.192,7.50203677072801e-08,2,"SE"
"ENSMUSG00000017307","Acot8",0.168,-0.168,7.62702722543162e-08,1,"SE"
"ENSMUSG00000034211","Mrps17",0.151,-0.151,9.57615469921395e-08,4,"SE,RI"
"ENSMUSG00000045098","Kmt5b",0.138,0.138,1.01109542961299e-07,1,"SE"
"ENSMUSG00000028078","Dclk2",0.136,0.136,1.01172471836732e-07,3,"SE"
"ENSMUSG00000029022","Miip",0.108,-0.108,1.03483326864201e-07,1,"SE"
"ENSMUSG00000028184","Adgrl2",0.519,-0.519,1.10144643457812e-07,4,"SE,A5SS"
"ENSMUSG00000041130","Zfp598",0.111,-0.111,1.1519918096756e-07,1,"RI"
"ENSMUSG00000039361","Picalm",0.118,0.118,1.15267724231651e-07,1,"SE"
"ENSMUSG00000002524","Puf60",0.103,0.103,1.15926029246631e-07,1,"SE"
"ENSMUSG00000033392","Clasp2",0.252,0.252,1.26060491336164e-07,1,"SE"
"ENSMUSG00000034473","Sec22a",0.144,-0.144,1.3670622159289e-07,1,"SE"
"ENSMUSG00000030924","Rexo5",0.252,-0.252,1.38617606886038e-07,3,"SE,A5SS,MXE"
"ENSMUSG00000021493","Pdlim7",0.179,-0.179,1.3914298788929e-07,1,"RI"
"ENSMUSG00000029505","Ep400",0.188,0.188,1.51485169599794e-07,1,"SE"
"ENSMUSG00000036644","Tbc1d9b",0.261,0.261,1.62944918111763e-07,2,"SE"
"ENSMUSG00000026867","Gapvd1",0.177,0.177,1.75910250494988e-07,2,"SE,A5SS"
"ENSMUSG00000033419","Snap91",0.209,0.209,1.80701390240478e-07,3,"SE,MXE"
"ENSMUSG00000024287","Thoc1",0.157,-0.157,1.82899828776282e-07,2,"A5SS,RI"
"ENSMUSG00000026179","Pnkd",0.117,0.117,2.07566263647578e-07,1,"SE"
"ENSMUSG00000028106","Rprd2",0.27,0.27,2.07777865641766e-07,1,"SE"
"ENSMUSG00000032366","Tpm1",0.12,0.12,2.10576700045027e-07,2,"SE,A3SS"
"ENSMUSG00000022568","Scrib",0.132,-0.132,2.11757429750358e-07,1,"SE"
"ENSMUSG00000024603","Dctn4",0.164,0.164,2.36488905850054e-07,1,"SE"
"ENSMUSG00000030979","Uros",0.139,-0.139,2.44705415395007e-07,1,"RI"
"ENSMUSG00000015536","Mocs2",0.103,-0.103,2.60177642173184e-07,1,"A5SS"
"ENSMUSG00000026977","Marchf7",0.187,0.187,2.84857067591192e-07,1,"SE"
"ENSMUSG00000029405","G3bp2",0.121,0.121,2.84857067591192e-07,1,"SE"
"ENSMUSG00000040225","Prrc2c",0.185,-0.185,3.14841122952943e-07,2,"SE"
"ENSMUSG00000034616","Ssh3",0.277,-0.277,3.20985041451668e-07,2,"RI"
"ENSMUSG00000022973","Synj1",0.254,0.254,3.69833523303806e-07,3,"SE"
"ENSMUSG00000035266","Helq",0.121,-0.121,3.80911582303627e-07,1,"A3SS"
"ENSMUSG00000022791","Tnk2",0.106,-0.106,4.2247188603458e-07,1,"SE"
"ENSMUSG00000027506","Tpd52",0.314,0.314,4.42357879944787e-07,1,"SE"
"ENSMUSG00000022801","Lrch3",0.182,0.182,4.92003807411608e-07,1,"SE"
"ENSMUSG00000021281","Tnfaip2",0.184,-0.184,5.51753155598114e-07,1,"RI"
"ENSMUSG00000029916","Agk",0.371,-0.371,5.81956058883445e-07,1,"SE"
"ENSMUSG00000029206","Nsun7",0.508,-0.508,5.92624440563156e-07,1,"SE"
"ENSMUSG00000090290","Tarbp1",0.107,0.107,5.95577614460032e-07,1,"SE"
"ENSMUSG00000009621","Vav2",0.112,0.112,6.20574366329859e-07,1,"SE"
"ENSMUSG00000035640","Cbarp",0.193,-0.193,6.82236601168504e-07,2,"SE"
"ENSMUSG00000031711","Zfp330",0.412,0.412,7.14985882623362e-07,1,"RI"
"ENSMUSG00000028995","Hycc1",0.161,-0.161,7.39491230381861e-07,1,"SE"
"ENSMUSG00000019897","Ccdc59",0.111,-0.111,7.55567837048327e-07,1,"RI"
"ENSMUSG00000000631","Myo18a",0.185,0.185,7.64290750052284e-07,2,"SE"
"ENSMUSG00000036104","Rab3gap1",0.191,0.191,7.9279837253698e-07,1,"SE"
"ENSMUSG00000063894","Zkscan8",0.165,-0.165,8.21525010499406e-07,1,"SE"
"ENSMUSG00000022770","Dlg1",0.139,0.139,8.81268485011539e-07,2,"SE"
"ENSMUSG00000024830","Rps6kb2",0.195,-0.195,8.95719802979681e-07,1,"RI"
"ENSMUSG00000032594","Ip6k1",0.151,-0.151,9.288652796606e-07,2,"SE,RI"
"ENSMUSG00000047045","Tmem164",0.137,0.137,9.66763557410396e-07,1,"SE"
"ENSMUSG00000037058","Paip2",0.442,-0.442,1.06160668563504e-06,5,"SE"
"ENSMUSG00000026490","Cdc42bpa",0.18,0.18,1.18301469469446e-06,2,"SE,MXE"
"ENSMUSG00000029767","Calu",0.112,-0.112,1.19231983726232e-06,2,"SE,MXE"
"ENSMUSG00000029461","Fam168a",0.191,-0.191,1.19363993167714e-06,1,"SE"
"ENSMUSG00000063810","Alms1",0.27,-0.27,1.29286176712669e-06,1,"A5SS"
"ENSMUSG00000028546","Elavl4",0.208,-0.208,1.34079673279972e-06,1,"SE"
"ENSMUSG00000029148","Nrbp1",0.114,0.114,1.54455389076641e-06,1,"SE"
"ENSMUSG00000036435","Exoc1",0.252,0.252,1.58910376195037e-06,1,"SE"
"ENSMUSG00000017652","Cd40",0.152,-0.152,1.82714629193345e-06,1,"SE"
"ENSMUSG00000026153","Fam135a",0.192,-0.192,1.8282465207085e-06,1,"A3SS"
"ENSMUSG00000031488","Rab11fip1",0.102,0.102,1.94409167542602e-06,1,"SE"
"ENSMUSG00000022359","Wdyhv1",0.11,0.11,1.94679704461023e-06,1,"SE"
"ENSMUSG00000020385","Clk4",0.322,-0.322,1.96680001714449e-06,3,"SE"
"ENSMUSG00000060206","Zfp462",0.114,0.114,2.05697629589022e-06,1,"A3SS"
"ENSMUSG00000028391","Wdr31",0.168,0.168,2.13701300763794e-06,1,"A5SS"
"ENSMUSG00000032999","Nlrp4f",0.254,0.254,2.14332252434951e-06,1,"SE"
"ENSMUSG00000025161","Slc16a3",0.118,0.118,2.28682319126952e-06,1,"SE"
"ENSMUSG00000021103","Mnat1",0.657,0.657,2.35822195569196e-06,2,"SE"
"ENSMUSG00000006589","Aprt",0.16,-0.16,2.39396923955613e-06,1,"RI"
"ENSMUSG00000026074","Map4k4",0.111,0.111,2.47459982056176e-06,1,"SE"
"ENSMUSG00000020409","Slu7",0.139,0.139,2.58850074362996e-06,1,"SE"
"ENSMUSG00000048537","Phldb1",0.15,0.15,2.67474956461651e-06,2,"SE,A5SS"
"ENSMUSG00000022558","Mroh1",0.247,0.247,2.71802851945387e-06,4,"SE,RI"
"ENSMUSG00000041977","Arhgef11",0.146,0.146,2.78873270258153e-06,1,"SE"
"ENSMUSG00000043411","Usp48",0.126,-0.126,2.87392006700783e-06,1,"SE"
"ENSMUSG00000047767","Atg16l2",0.18,-0.18,3.01052403882072e-06,2,"A5SS,RI"
"ENSMUSG00000038143","Stox2",0.109,0.109,3.06426728887984e-06,1,"SE"
"ENSMUSG00000042354","Gnl3",0.446,-0.446,3.06560648323351e-06,1,"SE"
"ENSMUSG00000059436","Max",0.148,0.148,3.18154548488872e-06,2,"SE,MXE"
"ENSMUSG00000121502","ENSMUSG00000121502",0.373,0.373,3.3499803481681e-06,1,"SE"
"ENSMUSG00000018428","Akap1",0.427,-0.427,3.36830553172877e-06,1,"SE"
"ENSMUSG00000064302","Clasp1",0.2,0.2,3.42019957341774e-06,3,"SE"
"ENSMUSG00000021693","Kif2a",0.145,-0.145,3.44348512967576e-06,1,"SE"
"ENSMUSG00000040860","Crocc",0.219,-0.219,3.45198987400359e-06,1,"RI"
"ENSMUSG00000050944","Efcab5",0.541,0.541,3.71457112083881e-06,1,"SE"
"ENSMUSG00000045031","Cetn4",0.341,-0.341,3.76735372788883e-06,2,"SE"
"ENSMUSG00000053046","Brsk2",0.184,0.184,3.78981443433466e-06,4,"SE"
"ENSMUSG00000025137","Pcyt2",0.138,-0.138,3.88207186786632e-06,2,"SE,RI"
"ENSMUSG00000021288","Klc1",0.126,0.126,4.04143840633022e-06,2,"SE"
"ENSMUSG00000028803","Nipal3",0.158,0.158,4.5723219909902e-06,1,"SE"
"ENSMUSG00000031736","Crnde",0.175,0.175,4.77952982853209e-06,5,"A5SS,MXE"
"ENSMUSG00000060450","Rnf14",0.266,-0.266,4.81587800938116e-06,2,"SE"
"ENSMUSG00000041570","Camsap2",0.246,0.246,4.82489615225967e-06,1,"SE"
"ENSMUSG00000057230","Aak1",0.373,0.373,4.90846102457967e-06,3,"SE"
"ENSMUSG00000041921","Metap1d",0.233,0.233,5.01587035635454e-06,1,"SE"
"ENSMUSG00000021557","Agtpbp1",0.119,0.119,5.21793667820254e-06,1,"SE"
"ENSMUSG00000021235","Coq6",0.264,-0.264,5.23522437739981e-06,1,"RI"
"ENSMUSG00000038174","Hycc2",0.543,-0.543,5.2424516665807e-06,2,"SE,A5SS"
"ENSMUSG00000062044","Lmtk3",0.152,-0.152,5.26337663805894e-06,1,"RI"
"ENSMUSG00000021820","Camk2g",0.148,0.148,5.2875225611611e-06,3,"SE,MXE"
"ENSMUSG00000024293","Esco1",0.129,-0.129,5.36401155092723e-06,2,"SE"
"ENSMUSG00000034908","Sidt2",0.156,0.156,5.41086159805272e-06,2,"SE"
"ENSMUSG00000032570","Atp2c1",0.168,0.168,5.43819269842008e-06,1,"SE"
"ENSMUSG00000037236","Matr3",0.172,0.172,5.52786366995912e-06,1,"SE"
"ENSMUSG00000024887","Asah2",0.214,-0.214,5.9518981425696e-06,2,"SE"
"ENSMUSG00000027660","Skil",0.133,-0.133,6.01431442684028e-06,1,"A5SS"
"ENSMUSG00000048078","Tenm4",0.193,0.193,6.02621193284705e-06,2,"SE"
"ENSMUSG00000000538","Tom1l2",0.151,-0.151,6.10806624409645e-06,1,"SE"
"ENSMUSG00000029359","Tesc",0.127,0.127,6.36766601400259e-06,1,"RI"
"ENSMUSG00000061613","U2af1",0.188,0.188,6.54932274710704e-06,2,"SE"
"ENSMUSG00000036817","Sun1",0.156,0.156,6.63382162493851e-06,3,"SE"
"ENSMUSG00000029290","Zfp326",0.127,-0.127,6.76631137863942e-06,1,"RI"
"ENSMUSG00000079036","Alkbh1",0.119,-0.119,6.78896725792226e-06,1,"A3SS"
"ENSMUSG00000025217","Btrc",0.275,-0.275,6.97195304985411e-06,2,"SE"
"ENSMUSG00000036745","Ttll7",0.158,0.158,7.11283720357769e-06,1,"SE"
"ENSMUSG00000000916","Nsun5",0.118,0.118,7.11646214786792e-06,1,"A5SS"
"ENSMUSG00000033382","Trappc8",0.11,0.11,7.28534664518961e-06,1,"SE"
"ENSMUSG00000121492","6820431F20Rik",0.102,-0.102,7.350129644032e-06,1,"A5SS"
"ENSMUSG00000027247","Arhgap1",0.17,0.17,7.37127930058624e-06,2,"SE,RI"
"ENSMUSG00000034842","Art3",0.136,-0.136,7.53265193187456e-06,2,"SE"
"ENSMUSG00000037426","Depdc5",0.134,0.134,7.71814477123387e-06,2,"SE"
"ENSMUSG00000019823","Mical1",0.137,0.137,7.77315408646622e-06,2,"A5SS,A3SS"
"ENSMUSG00000005501","Usp40",0.264,0.264,7.82608919974478e-06,2,"SE"
"ENSMUSG00000029703","Lrwd1",0.253,-0.253,7.95564629489482e-06,1,"RI"
"ENSMUSG00000022488","Nckap1l",0.155,-0.155,8.99666148170899e-06,1,"RI"
"ENSMUSG00000023072","Cep89",0.129,-0.129,9.25568938539902e-06,1,"SE"
"ENSMUSG00000001576","Ergic1",0.156,-0.156,9.56667335520824e-06,1,"SE"
"ENSMUSG00000063179","Pstk",0.194,-0.194,9.64503146274737e-06,1,"SE"
"ENSMUSG00000021895","Arhgef3",0.238,-0.238,1.00228474147005e-05,1,"SE"
"ENSMUSG00000100009","Gm7967",0.119,0.119,1.00228474147005e-05,1,"SE"
"ENSMUSG00000027763","Mbnl1",0.146,0.146,1.01676195895345e-05,1,"SE"
