"GeneID","geneSymbol","max_abs_dPSI","best_dPSI","min_FDR","n_events","event_types"
"ENSMUSG00000000568","Hnrnpd",0.202,0.202,0,1,"SE"
"ENSMUSG00000001143","Lman2l",0.228,0.228,0,2,"SE"
"ENSMUSG00000001248","Gramd1a",0.183,0.183,0,1,"SE"
"ENSMUSG00000003810","Mast2",0.248,0.248,0,1,"SE"
"ENSMUSG00000005881","Ergic3",0.169,0.169,0,1,"SE"
"ENSMUSG00000009079","Ewsr1",0.222,0.222,0,1,"SE"
"ENSMUSG00000009995","Tafazzin",0.365,-0.365,0,9,"SE,A5SS,MXE,RI"
"ENSMUSG00000013973","Dedd",0.223,0.223,0,3,"SE"
"ENSMUSG00000017210","Med24",0.179,0.179,0,1,"SE"
"ENSMUSG00000018411","Mapt",0.237,-0.237,0,7,"SE,A3SS,MXE"
"ENSMUSG00000018865","Sult4a1",0.201,0.201,0,1,"SE"
"ENSMUSG00000020198","Ap3d1",0.228,-0.228,0,1,"SE"
"ENSMUSG00000021686","Ap3b1",0.15,0.15,0,1,"SE"
"ENSMUSG00000022565","Plec",0.101,0.101,0,1,"SE"
"ENSMUSG00000022992","Kansl2",0.107,-0.107,0,2,"SE,A5SS"
"ENSMUSG00000024044","Epb41l3",0.204,0.204,0,3,"SE,MXE"
"ENSMUSG00000024163","Mapk8ip3",0.191,-0.191,0,2,"SE,MXE"
"ENSMUSG00000024188","Luc7l",0.28,-0.28,0,2,"A5SS,RI"
"ENSMUSG00000024908","Ppp6r3",0.211,0.211,0,2,"SE,A3SS"
"ENSMUSG00000025404","R3hdm2",0.177,0.177,0,3,"SE"
"ENSMUSG00000026189","Pecr",0.124,-0.124,0,1,"SE"
"ENSMUSG00000026277","Stk25",0.153,-0.153,0,1,"RI"
"ENSMUSG00000026883","Dab2ip",0.152,-0.152,0,1,"RI"
"ENSMUSG00000027012","Dync1i2",0.468,-0.468,0,2,"SE,A3SS"
"ENSMUSG00000028433","Ubap2",0.109,0.109,0,1,"SE"
"ENSMUSG00000028809","Srrm1",0.186,-0.186,0,1,"RI"
"ENSMUSG00000030279","C2cd5",0.132,0.132,0,1,"SE"
"ENSMUSG00000030512","Snrpa1",0.315,-0.315,0,1,"RI"
"ENSMUSG00000030846","Tial1",0.158,-0.158,0,2,"SE,RI"
"ENSMUSG00000031012","Cask",0.169,0.169,0,2,"SE"
"ENSMUSG00000031865","Dctn1",0.272,0.272,0,4,"SE,MXE"
"ENSMUSG00000034274","Thoc5",0.174,0.174,0,1,"SE"
"ENSMUSG00000034729","Mrps10",0.117,-0.117,0,1,"A3SS"
"ENSMUSG00000035629","Rubcn",0.329,0.329,0,1,"SE"
"ENSMUSG00000035954","Dock4",0.164,0.164,0,1,"SE"
"ENSMUSG00000036180","Gatad2a",0.199,0.199,0,1,"SE"
"ENSMUSG00000036529","Sbf1",0.134,0.134,0,1,"SE"
"ENSMUSG00000039262","Prrc2b",0.157,0.157,0,1,"SE"
"ENSMUSG00000041936","Agrn",0.438,-0.438,0,4,"SE,A5SS,RI"
"ENSMUSG00000045095","Magi1",0.171,0.171,0,2,"SE"
"ENSMUSG00000045411","2410002F23Rik",0.331,-0.331,0,8,"SE,MXE,RI"
"ENSMUSG00000045482","Trrap",0.291,0.291,0,2,"SE"
"ENSMUSG00000050565","Tor1aip2",0.298,0.298,0,5,"SE"
"ENSMUSG00000061306","Slc38a10",0.327,0.327,0,3,"SE,MXE"
"ENSMUSG00000066036","Ubr4",0.263,0.263,0,1,"SE"
"ENSMUSG00000068036","Afdn",0.179,0.179,0,1,"SE"
"ENSMUSG00000039205","Ciz1",0.127,-0.127,7.174059326395e-14,2,"RI"
"ENSMUSG00000026860","Sh3glb2",0.228,0.228,1.00380021755475e-13,1,"SE"
"ENSMUSG00000027799","Nbea",0.201,0.201,1.83302648422216e-13,1,"SE"
"ENSMUSG00000028886","Eya3",0.207,0.207,1.83302648422216e-13,2,"SE,MXE"
"ENSMUSG00000045983","Eif4g1",0.166,0.166,1.83302648422216e-13,1,"SE"
"ENSMUSG00000020792","Exoc7",0.21,0.21,2.59888001530519e-13,3,"SE,MXE"
"ENSMUSG00000032637","Atxn2l",0.23,-0.23,2.7329249974169e-13,3,"SE,A5SS"
"ENSMUSG00000033768","Nrxn2",0.118,-0.118,2.82052159405981e-13,1,"A3SS"
"ENSMUSG00000028693","Nasp",0.253,-0.253,3.41834668679268e-13,1,"SE"
"ENSMUSG00000032479","Map4",0.134,0.134,4.99258529255247e-13,1,"SE"
"ENSMUSG00000041609","Bicdl1",0.199,0.199,7.39161978378268e-13,2,"SE"
