"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007612","learning","21/1007","206/28928",0.101941747572816,2.92847157277697,5.2752186038522,1.16365367978302e-05,0.000768317653309365,0.000621797215595967,"Nf1/Deaf1/Fos/Ube3a/Rapgef3/Syngap1/Shank1/Elavl4/Slc12a5/Vdac3/Synj1/Kcnq2/Dbh/Nrxn3/Nptn/Pak6/Idua/Creb1/Cacna1c/Grin1/Chrd",21
"GO:0033363","secretory granule organization","12/1007","76/28928",0.157894736842105,4.53582815031621,5.86152919215889,1.18211076471475e-05,0.000770367768485533,0.000623456367774368,"Ap3d1/Hps1/Vps33b/Hps4/Snx19/Abca1/Hps3/Ccdc38/Ap3s1/Nbeal2/Creb1/Slc9a8",12
"GO:0030516","regulation of axon extension","14/1007","102/28928",0.137254901960784,3.94290943785657,5.65438975900131,1.20881900009016e-05,0.000777673556724667,0.000629368920694713,"L1cam/Mapt/Map2/Sema6c/Macf1/Plxna4/Ptprs/Arhgap4/Cttn/Plxna3/Clasp2/Adnp/Trim46/Ndel1",14
"GO:0010977","negative regulation of neuron projection development","18/1007","160/28928",0.1125,3.2317775571003,5.3759721602043,1.26638810027528e-05,0.000804396897111566,0.000650996041420659,"Map2/Neo1/Dync1i2/Sema6c/Ube3a/Syngap1/Dguok/Ptprs/Flna/Arhgap4/Plxna3/Thoc2/Map4k4/Tsc2/Cib1/Trim46/Inpp5j/Ptk2",18
"GO:0010976","positive regulation of neuron projection development","23/1007","241/28928",0.0954356846473029,2.74157247813027,5.15594714124433,1.34788931519507e-05,0.00082792773818864,0.000670039481850973,"Mapt/Nf1/Nrg1/Ezh2/Ltk/Kidins220/Actr2/Rapgef1/Cpeb1/Elavl4/Dnm1l/Cask/Flna/Xlr3b/Nptn/Tenm3/Caprin2/Tsc2/Adnp/Lrp8/Ube2v2/Ndel1/Acsl6",23
"GO:0051963","regulation of synapse assembly","21/1007","208/28928",0.100961538461538,2.9003131922695,5.22354790251634,1.34920354633859e-05,0.00082792773818864,0.000670039481850973,"L1cam/Agrn/Sema4a/Pdlim5/Nrg1/Numbl/Dlg4/Setd5/Adgrb2/Psd/Slc12a5/Numb/Ptprs/Nae1/Xlr3b/Iqsec1/Adgrl1/Adnp/Grin1/Ube2v2/Ptk2",21
"GO:0050890","cognition","32/1007","401/28928",0.0798004987531172,2.29242187480653,4.94936387408533,1.35293093924808e-05,0.00082792773818864,0.000670039481850973,"Mapt/Paip2/Nf1/Deaf1/Picalm/Pla2g6/Nrg1/Lins1/Setd5/Fos/Ube3a/Rapgef3/Syngap1/Shank1/Elavl4/Gmppa/Slc12a5/Vdac3/Synj1/Kcnq2/Dbh/Nrxn3/Nptn/Kat2a/Pak6/Idua/Ncam1/Creb1/Adnp/Cacna1c/Grin1/Chrd",32
"GO:0050773","regulation of dendrite development","17/1007","146/28928",0.116438356164384,3.34491436655739,5.39440910446203,1.39013956489733e-05,0.000840174180318667,0.000679950491424434,"Sh3glb1/Numbl/Ezh2/Ache/Dlg4/Tnik/Actr2/Elavl4/Dnm1l/Obsl1/Numb/Cask/Xlr3b/Caprin2/Ptprf/Lrp8/Grin1",17
"GO:0030866","cortical actin cytoskeleton organization","9/1007","43/28928",0.209302325581395,6.01260940855869,6.24687557164132,1.40642947681881e-05,0.000840174180318667,0.000679950491424434,"Epb41l1/Racgap1/Nckap1l/Epb41l2/Plec/Fmnl3/Epb41l3/Kcnc3/Nckap1",9
"GO:0010948","negative regulation of cell cycle process","28/1007","330/28928",0.0848484848484849,2.43743492522043,4.98744684878608,1.52160553001053e-05,0.000898284299952097,0.000726978840220509,"Dgkz/Timeless/Abraxas1/Pidd1/Susd2/Ezh2/Cdk5rap3/Kntc1/Tom1l2/Nme6/Nabp1/Cdk5rap2/Nek1/Nae1/Macroh2a1/Miip/Brsk2/Zfp207/Kat2a/Hsf1/Trp53bp1/Orc1/Bard1/Usp44/Prpf4b/Mbd4/Mdm1/Clock",28
