"comparison","event_type","total","significant"
"KO_vs_Neg","A3SS",4892,115
"KO_vs_Neg","A5SS",3021,82
"KO_vs_Neg","MXE",11470,154
"KO_vs_Neg","RI",3421,214
"KO_vs_Neg","SE",60269,1157
"KO_vs_Parental","A3SS",4764,123
"KO_vs_Parental","A5SS",2927,87
"KO_vs_Parental","MXE",10325,130
"KO_vs_Parental","RI",3399,157
"KO_vs_Parental","SE",56273,1008
"KO_vs_Pos","A3SS",4938,126
"KO_vs_Pos","A5SS",3080,94
"KO_vs_Pos","MXE",12127,167
"KO_vs_Pos","RI",3438,193
"KO_vs_Pos","SE",62074,919
"Neg_vs_Parental","A3SS",4705,128
"Neg_vs_Parental","A5SS",2861,93
"Neg_vs_Parental","MXE",9454,117
"Neg_vs_Parental","RI",3383,240
"Neg_vs_Parental","SE",53326,1034
"Pos_vs_Neg","A3SS",4882,91
"Pos_vs_Neg","A5SS",3025,86
"Pos_vs_Neg","MXE",11216,124
"Pos_vs_Neg","RI",3417,128
"Pos_vs_Neg","SE",59402,912
"Pos_vs_Parental","A3SS",4780,209
"Pos_vs_Parental","A5SS",2945,173
"Pos_vs_Parental","MXE",10129,249
"Pos_vs_Parental","RI",3394,303
"Pos_vs_Parental","SE",55747,1566
