"comparison","paper_condition","n_events","pearson_r","pearson_p","spearman_rho","spearman_p","direction_concordance_pct","study_comparison"
"Srrm3+Srrm4_DKD_vs_SRRM3_Neg","Srrm3+Srrm4 DKD",339,-0.158046361222337,0.00352790594764643,-0.323404036588614,1.07991130256299e-09,20.353982300885,"Neg_vs_Parental"
"Srrm3_KD_vs_SRRM3_Neg","Srrm3 KD",331,-0.281454713830797,1.92039794733615e-07,-0.362894638894018,9.69994927817322e-12,21.4501510574018,"Neg_vs_Parental"
"Srrm4_KD_vs_SRRM3_Neg","Srrm4 KD",357,-0.175133413827759,0.00089002895008452,-0.323706780756729,3.74578315942119e-10,27.7310924369748,"Neg_vs_Parental"
"Srrm3+Srrm4_DKD_vs_SRRM3_Pos","Srrm3+Srrm4 DKD",349,0.266920756066343,4.17694262021801e-07,0.270301482200065,2.93947607037338e-07,50.7163323782235,"Pos_vs_Parental"
"Srrm3_KD_vs_SRRM3_Pos","Srrm3 KD",344,0.205789642395805,0.000120965740821963,0.252933758647412,2.01781524532042e-06,50.2906976744186,"Pos_vs_Parental"
"Srrm4_KD_vs_SRRM3_Pos","Srrm4 KD",370,0.255354028595076,6.4251493354605e-07,0.321013645644876,2.58163832822198e-10,62.7027027027027,"Pos_vs_Parental"
"Srrm3+Srrm4_DKD_vs_SRRM3_KO","Srrm3+Srrm4 DKD",346,0.128760441033732,0.01655705677046,0.29499575205352,2.24059793681416e-08,55.7803468208092,"KO_vs_Parental"
"Srrm3_KD_vs_SRRM3_KO","Srrm3 KD",339,0.231926242561437,1.60763946367047e-05,0.37261086181583,1.32026008495122e-12,56.9321533923304,"KO_vs_Parental"
"Srrm4_KD_vs_SRRM3_KO","Srrm4 KD",366,0.178955284304415,0.000582332699453951,0.3821882127231,3.557844239743e-14,67.7595628415301,"KO_vs_Parental"
