"Comparison","EventType","Count","Mean_dPSI","Min_dPSI","Max_dPSI"
"KO_vs_Neg","A3SS",143,0.057,-0.492,0.7
"KO_vs_Neg","A5SS",95,0.069,-0.497,0.667
"KO_vs_Neg","MXE",169,0.012,-0.602,0.648
"KO_vs_Neg","RI",230,0.102,-0.878,0.596
"KO_vs_Neg","SE",1377,-0.056,-0.85,1
"KO_vs_Parental","A3SS",145,-0.013,-0.452,0.571
"KO_vs_Parental","A5SS",95,-0.041,-0.723,0.588
"KO_vs_Parental","MXE",137,-0.006,-0.667,0.482
"KO_vs_Parental","RI",172,-0.035,-0.547,0.461
"KO_vs_Parental","SE",1201,-0.041,-0.8,1
"KO_vs_Pos","A3SS",157,0.048,-0.599,0.716
"KO_vs_Pos","A5SS",108,0.091,-0.633,0.932
"KO_vs_Pos","MXE",181,-0.032,-0.436,0.61
"KO_vs_Pos","RI",207,0.123,-0.515,0.722
"KO_vs_Pos","SE",1110,0.007,-0.83,1
"Neg_vs_Parental","A3SS",155,-0.084,-0.831,0.678
"Neg_vs_Parental","A5SS",113,-0.123,-0.657,0.533
"Neg_vs_Parental","MXE",124,0.043,-0.717,0.537
"Neg_vs_Parental","RI",251,-0.134,-0.647,0.598
"Neg_vs_Parental","SE",1227,0.014,-0.892,0.805
"Pos_vs_Neg","A3SS",115,-0.016,-0.836,0.838
"Pos_vs_Neg","A5SS",96,-0.004,-0.907,0.562
"Pos_vs_Neg","MXE",139,0.036,-0.667,0.618
"Pos_vs_Neg","RI",139,-0.002,-0.556,0.772
"Pos_vs_Neg","SE",1096,-0.076,-0.848,0.97
"Pos_vs_Parental","A3SS",237,-0.087,-0.831,0.656
"Pos_vs_Parental","A5SS",190,-0.075,-0.808,0.548
"Pos_vs_Parental","MXE",255,0.059,-0.716,0.549
"Pos_vs_Parental","RI",327,-0.121,-0.599,0.5
"Pos_vs_Parental","SE",1783,-0.045,-0.884,1
