ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
162	27,39,42	604,619,588	72,86,56	860,1130,1115	246	149
163	1387,1541,1205	1,0,2	1687,1903,1916	3,5,0	156	149
164	4482,4356,4196	0,0,2	3824,4462,5487	0,0,0	268	149
165	7,1,12	1389,1442,1529	3,2,9	1373,1713,1892	173	149
166	212,184,182	1,0,0	177,177,236	0,0,0	154	149
167	2944,2801,2830	0,7,2	2642,3101,3700	9,8,5	250	149
169	42,50,42	0,1,0	45,64,62	0,0,0	178	149
170	305,348,306	88,81,105	390,448,435	71,61,82	178	149
171	1416,1465,1323	6,7,13	1901,2377,2271	4,15,3	206	149
174	173,196,167	21,16,27	260,283,292	15,17,26	152	149
175	253,249,289	25,29,22	259,323,375	20,28,25	200	149
176	1000,1106,989	7,2,3	1583,2076,1798	6,18,26	298	149
177	372,409,364	1,1,7	381,505,508	4,3,1	283	149
178	6,9,3	0,3,0	11,12,9	0,0,0	152	149
179	5,5,6	0,3,0	1,6,14	0,0,0	184	149
180	2,5,6	3,9,3	1,3,12	11,9,7	181	149
181	8,14,4	56,48,43	10,22,14	117,148,102	179	149
182	152,158,165	12,13,6	256,260,336	21,33,19	247	149
184	14,16,19	792,821,817	26,38,30	1253,1588,1526	170	149
185	43,47,26	2,4,2	129,110,111	0,5,7	160	149
186	365,296,261	21,27,29	427,557,479	41,71,55	182	149
187	78,83,69	0,9,0	97,152,144	0,3,3	158	149
188	38,65,38	1,1,0	58,81,79	3,4,6	153	149
189	297,249,246	0,1,2	412,383,383	3,4,1	220	149
190	107,94,106	0,2,0	156,145,149	0,0,0	220	149
191	106,95,102	1,2,1	151,142,150	1,0,4	220	149
192	3,11,13	0,0,0	7,8,21	0,0,1	153	149
193	16,27,31	327,292,271	40,52,51	369,576,527	162	149
194	152,180,156	0,0,4	175,228,230	0,0,1	179	149
195	496,480,497	10,7,3	567,821,798	11,17,22	179	149
196	417,401,425	145,173,138	647,884,796	256,234,251	153	149
197	67,73,73	2,0,0	104,113,116	0,0,0	298	149
198	0,3,0	382,395,398	0,1,3	382,473,564	164	149
199	63,70,72	5,9,3	61,101,78	3,12,9	157	149
200	78,107,95	0,0,1	104,114,77	1,0,4	273	149
201	25,25,36	1,0,0	45,45,23	0,1,0	298	149
202	1,4,1	27,15,11	0,4,1	14,39,16	161	149
203	19,26,20	0,1,1	49,37,26	0,0,0	153	149
204	37,46,38	23,40,15	48,54,30	21,17,22	152	149
205	292,279,329	116,104,168	257,316,298	119,141,149	155	149
206	8,12,9	1,0,0	13,19,15	0,2,0	155	149
207	159,157,164	1,4,1	149,268,287	2,1,4	298	149
208	302,342,300	1,4,2	433,642,652	4,5,10	221	149
209	36,35,38	1,0,0	54,72,87	0,0,0	154	149
212	734,766,598	9,8,9	883,1116,1079	4,12,15	176	149
213	318,378,280	1,0,3	328,496,488	7,12,3	176	149
214	20,3,11	109,124,102	10,7,9	117,213,188	298	149
215	67,81,51	3046,3314,3420	63,99,65	4857,6072,5721	224	149
216	5,6,2	11,13,11	9,8,6	8,29,23	198	149
217	1286,1258,1376	9,1,6	1651,2119,2098	10,12,7	168	149
