"comparison","paper_condition","n_events","pearson_r","pearson_p","spearman_rho","spearman_p","direction_concordance_pct"
"Srrm3+Srrm4_DKD_vs_SRRM3_Neg","Srrm3+Srrm4 DKD",339,-0.158046361222337,0.00352790594764643,-0.323404036588614,1.07991130256299e-09,20.353982300885
"Srrm3_KD_vs_SRRM3_Neg","Srrm3 KD",331,-0.281454713830797,1.92039794733615e-07,-0.362894638894018,9.69994927817322e-12,21.4501510574018
"Srrm4_KD_vs_SRRM3_Neg","Srrm4 KD",357,-0.175133413827759,0.00089002895008452,-0.323706780756729,3.74578315942119e-10,27.7310924369748
