"GeneID","geneSymbol","neg_n_sig","neg_event_types","neg_n_SE","neg_n_microexon","neg_n_inclusion","neg_n_exclusion","neg_mean_dPSI","neg_mean_abs_dPSI","pos_n_sig","pos_event_types","pos_n_SE","pos_n_microexon","pos_n_inclusion","pos_n_exclusion","pos_mean_dPSI","pos_mean_abs_dPSI"
"ENSMUSG00000031865","Dctn1",4,"MXE,SE",2,4,3,1,0.129,0.1975,1,"SE",1,1,0,1,-0.117,0.117
"ENSMUSG00000028078","Dclk2",3,"SE",3,2,3,0,0.1243,0.1243,0,"",0,0,0,0,NA,NA
"ENSMUSG00000039126","Prune2",3,"SE",3,0,3,0,0.1157,0.1157,1,"MXE",0,0,1,0,0.104,0.104
"ENSMUSG00000069601","Ank3",5,"A3SS,SE",4,2,3,2,0.0746,0.1746,3,"A3SS,SE",2,0,0,3,-0.2227,0.2227
"ENSMUSG00000020300","Cpeb4",3,"MXE,SE",2,2,2,1,0.0547,0.1233,0,"",0,0,0,0,NA,NA
"ENSMUSG00000022139","Mbnl2",2,"SE",2,0,2,0,0.129,0.129,0,"",0,0,0,0,NA,NA
"ENSMUSG00000022770","Dlg1",2,"SE",2,1,1,1,0.0175,0.1215,1,"A5SS",0,0,1,0,0.153,0.153
"ENSMUSG00000022973","Synj1",3,"SE",3,0,3,0,0.2253,0.2253,3,"MXE,SE",2,0,3,0,0.2457,0.2457
"ENSMUSG00000024163","Mapk8ip3",2,"MXE,SE",1,2,1,1,-0.021,0.17,0,"",0,0,0,0,NA,NA
"ENSMUSG00000024381","Bin1",2,"SE",2,2,2,0,0.149,0.149,1,"SE",1,0,0,1,-0.168,0.168
"ENSMUSG00000026490","Cdc42bpa",2,"MXE,SE",1,0,2,0,0.1435,0.1435,1,"SE",1,0,0,1,-0.227,0.227
"ENSMUSG00000028524","Sgip1",3,"SE",3,2,3,0,0.2543,0.2543,1,"SE",1,0,1,0,0.128,0.128
"ENSMUSG00000028886","Eya3",2,"MXE,SE",1,0,2,0,0.2055,0.2055,0,"",0,0,0,0,NA,NA
"ENSMUSG00000029462","Vps29",2,"SE",2,2,2,0,0.1375,0.1375,0,"",0,0,0,0,NA,NA
"ENSMUSG00000031561","Tenm3",2,"SE",2,2,2,0,0.1975,0.1975,1,"SE",1,1,0,1,-0.107,0.107
"ENSMUSG00000032076","Cadm1",2,"SE",2,0,2,0,0.1245,0.1245,0,"",0,0,0,0,NA,NA
"ENSMUSG00000032534","Cep63",2,"SE",2,0,1,1,0.092,0.456,3,"MXE,SE",2,0,1,2,-0.0403,0.2323
"ENSMUSG00000032599","Ip6k2",3,"MXE,SE",2,0,3,0,0.1863,0.1863,1,"SE",1,0,1,0,0.131,0.131
"ENSMUSG00000034842","Art3",2,"SE",2,0,0,2,-0.124,0.124,0,"",0,0,0,0,NA,NA
"ENSMUSG00000041936","Agrn",4,"A5SS,RI,SE",2,1,2,2,-0.0225,0.249,1,"RI",0,0,0,1,-0.154,0.154
"ENSMUSG00000043019","Edem3",2,"SE",2,1,2,0,0.11,0.11,0,"",0,0,0,0,NA,NA
"ENSMUSG00000053046","Brsk2",4,"SE",4,0,3,1,0.0862,0.1598,3,"SE",3,0,1,2,-0.0613,0.1327
"ENSMUSG00000061306","Slc38a10",3,"MXE,SE",2,2,2,1,0.131,0.203,0,"",0,0,0,0,NA,NA
"ENSMUSG00000000631","Myo18a",2,"SE",2,0,2,0,0.177,0.177,2,"SE",2,0,0,2,-0.282,0.282
"ENSMUSG00000000827","Tpd52l2",1,"SE",1,1,1,0,0.106,0.106,0,"",0,0,0,0,NA,NA
"ENSMUSG00000000881","Dlg3",2,"MXE",0,0,1,1,-0.002,0.103,1,"SE",1,0,1,0,0.134,0.134
"ENSMUSG00000001036","Epn2",2,"SE",2,0,1,1,0.0015,0.1205,1,"SE",1,0,0,1,-0.11,0.11
"ENSMUSG00000001143","Lman2l",2,"SE",2,0,2,0,0.216,0.216,1,"SE",1,0,1,0,0.157,0.157
"ENSMUSG00000001248","Gramd1a",1,"SE",1,1,1,0,0.183,0.183,0,"",0,0,0,0,NA,NA
"ENSMUSG00000002031","Ift46",1,"SE",1,0,1,0,0.103,0.103,3,"SE",3,0,2,1,0.346,0.526
"ENSMUSG00000003810","Mast2",1,"SE",1,1,1,0,0.248,0.248,0,"",0,0,0,0,NA,NA
"ENSMUSG00000003863","Ppfia3",1,"SE",1,1,1,0,0.239,0.239,0,"",0,0,0,0,NA,NA
"ENSMUSG00000005881","Ergic3",1,"SE",1,1,1,0,0.169,0.169,0,"",0,0,0,0,NA,NA
"ENSMUSG00000006476","Nsmf",2,"MXE,SE",1,1,1,1,0.01,0.131,1,"SE",1,0,0,1,-0.114,0.114
"ENSMUSG00000009073","Nf2",1,"SE",1,0,1,0,0.174,0.174,0,"",0,0,0,0,NA,NA
"ENSMUSG00000009079","Ewsr1",1,"SE",1,1,1,0,0.222,0.222,0,"",0,0,0,0,NA,NA
"ENSMUSG00000013523","Bcas1",2,"SE",2,0,2,0,0.145,0.145,0,"",0,0,0,0,NA,NA
"ENSMUSG00000013973","Dedd",3,"SE",3,0,3,0,0.1687,0.1687,2,"SE",2,0,2,0,0.166,0.166
"ENSMUSG00000018334","Ksr1",1,"SE",1,0,1,0,0.203,0.203,0,"",0,0,0,0,NA,NA
"ENSMUSG00000018820","Zfyve27",1,"SE",1,1,1,0,0.131,0.131,0,"",0,0,0,0,NA,NA
"ENSMUSG00000020231","Dip2a",1,"SE",1,1,1,0,0.168,0.168,0,"",0,0,0,0,NA,NA
"ENSMUSG00000020451","Limk2",1,"SE",1,0,0,1,-0.127,0.127,3,"MXE,SE",2,0,2,1,0.162,0.2727
"ENSMUSG00000020792","Exoc7",3,"MXE,SE",2,0,3,0,0.1603,0.1603,3,"MXE,SE",2,0,3,0,0.1983,0.1983
"ENSMUSG00000020859","Spag9",1,"SE",1,1,1,0,0.196,0.196,1,"SE",1,1,1,0,0.168,0.168
"ENSMUSG00000021071","Trim9",2,"SE",2,0,2,0,0.1625,0.1625,3,"A3SS,SE",2,1,3,0,0.2827,0.2827
"ENSMUSG00000021427","Ssr1",1,"SE",1,1,1,0,0.156,0.156,0,"",0,0,0,0,NA,NA
"ENSMUSG00000021686","Ap3b1",1,"SE",1,0,1,0,0.15,0.15,0,"",0,0,0,0,NA,NA
"ENSMUSG00000021820","Camk2g",3,"MXE,SE",2,0,2,1,0.0587,0.13,1,"SE",1,0,1,0,0.192,0.192
"ENSMUSG00000021969","Zdhhc20",1,"SE",1,0,1,0,0.196,0.196,0,"",0,0,0,0,NA,NA
"ENSMUSG00000022329","Stk3",1,"SE",1,1,1,0,0.135,0.135,0,"",0,0,0,0,NA,NA
"ENSMUSG00000022517","Mgrn1",1,"SE",1,0,1,0,0.14,0.14,0,"",0,0,0,0,NA,NA
"ENSMUSG00000022565","Plec",1,"SE",1,0,1,0,0.101,0.101,1,"SE",1,1,0,1,-0.145,0.145
"ENSMUSG00000022623","Shank3",1,"SE",1,1,1,0,0.129,0.129,0,"",0,0,0,0,NA,NA
"ENSMUSG00000022635","Zcrb1",1,"SE",1,1,0,1,-0.163,0.163,0,"",0,0,0,0,NA,NA
"ENSMUSG00000022701","Ccdc191",1,"SE",1,0,1,0,0.186,0.186,0,"",0,0,0,0,NA,NA
"ENSMUSG00000022708","Zbtb20",4,"MXE,SE",2,0,3,1,0.1578,0.2112,1,"MXE",0,0,0,1,-0.209,0.209
"ENSMUSG00000024273","2700062C07Rik",1,"SE",1,1,0,1,-0.102,0.102,0,"",0,0,0,0,NA,NA
