ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
58404	2870,3145,2269	1,0,0	1555,1340,1472	0,0,0	326	149
58405	4,0,5	106,161,140	1,2,1	133,172,160	218	149
58406	486,653,558	0,0,0	576,628,872	0,1,0	308	149
58407	418,617,507	0,0,0	549,600,830	0,4,0	292	149
58408	624,934,849	4,0,2	682,712,776	0,3,1	346	149
58409	380,497,355	0,5,2	406,447,408	0,0,0	228	149
58410	32,47,29	1,0,4	28,27,46	0,0,1	211	149
58413	807,760,671	0,0,0	499,520,595	0,1,0	218	149
58414	1003,1212,769	5,9,4	788,682,785	7,0,4	230	149
58415	25,37,39	2,0,0	21,37,43	1,0,1	275	149
58416	50,60,30	0,0,1	28,30,49	0,0,0	306	149
58417	64,63,31	1,0,1	37,53,79	1,2,2	307	149
58418	1482,1737,1374	1,0,0	1329,1305,1442	0,0,0	320	149
58419	1749,2101,1586	2,0,0	1549,1535,1566	0,0,0	285	149
58420	743,925,629	2,6,0	550,616,614	0,0,0	285	149
58421	104,175,96	2,6,0	135,85,102	0,0,0	247	149
58422	364,464,379	6,0,3	366,362,318	0,4,0	247	149
58423	918,1152,908	0,2,5	1018,842,951	0,0,1	247	149
58424	0,1,3	0,2,5	0,0,8	0,0,1	203	149
58425	6,6,23	599,739,583	11,4,16	684,512,662	203	149
58426	416,595,391	0,1,0	431,329,471	7,0,7	226	149
58427	137,221,167	0,6,0	163,119,166	0,0,0	226	149
58428	519,594,422	5,5,11	483,392,552	6,2,15	276	149
58429	231,206,184	0,6,0	203,171,229	0,0,0	276	149
58430	138,173,176	0,0,0	156,125,145	0,0,1	213	149
58431	740,845,610	0,1,2	600,532,606	4,3,0	284	149
58432	700,861,683	5,0,0	596,497,578	0,0,3	285	149
58433	139,92,128	0,0,0	206,169,180	2,0,0	303	149
58434	43,70,64	127,166,153	57,53,76	209,187,202	259	149
58435	25,32,33	14,12,7	34,32,26	4,23,10	259	149
58436	377,431,366	14,12,7	552,461,557	4,23,10	438	149
58437	271,305,246	1,2,2	367,295,405	1,0,0	438	149
58438	168,217,227	24,33,41	297,233,287	48,33,56	613	149
58439	439,485,313	2,2,0	433,352,443	0,2,0	313	149
58440	224,276,218	0,0,0	269,225,257	0,0,4	287	149
58441	156,202,187	2,0,0	142,124,167	0,0,2	300	149
58442	328,415,362	2,0,0	314,317,370	0,0,1	298	149
58444	846,1154,724	0,0,2	679,703,818	0,1,0	374	149
58445	621,787,518	2,0,0	480,519,599	0,0,0	374	149
58448	872,1037,622	138,139,83	639,662,613	38,35,37	288	149
58451	181,227,137	0,0,0	115,160,148	1,0,2	300	149
58452	22,15,13	3,5,3	8,15,4	4,8,9	185	149
58453	11841,11878,10116	4,0,0	8493,7995,9726	0,0,0	242	149
58454	4846,5062,4408	1,0,0	3539,3267,4002	0,0,0	242	149
58455	7723,8185,6646	1,0,0	5593,5630,6141	0,0,0	293	149
58456	14715,15000,12354	0,0,0	10548,10356,11860	0,1,0	293	149
58457	17535,16712,16048	3,5,2	13279,11315,13284	0,6,2	353	149
58458	12827,11556,12491	0,0,0	10116,8137,9655	1,0,0	251	149
58459	50,81,75	1,0,0	92,115,89	0,0,0	257	149
58461	53,74,66	0,0,0	94,103,108	0,1,0	234	149
58462	24,25,33	36,42,41	38,67,66	46,62,64	201	149
58463	3,8,21	4,0,1	10,19,10	0,0,2	201	149
58464	56,66,68	4,0,1	66,95,93	0,0,2	250	149
58465	41,41,42	0,0,4	47,82,85	1,0,0	250	149
58467	62,94,68	0,2,0	137,112,209	0,0,0	239	149
58468	353,423,386	0,0,0	538,471,721	8,0,0	528	149
58470	279,385,267	1,0,0	299,301,352	2,3,5	253	149
58471	268,389,253	0,0,1	276,258,327	0,0,0	366	149
58472	192,170,205	5,5,0	177,157,196	4,1,3	176	149
58476	25481,28167,22316	4,7,0	21562,19857,23410	2,0,0	272	149
58477	49,83,90	1,2,5	45,54,71	1,0,0	200	149
58478	378,534,397	6,1,9	414,411,446	7,3,5	282	149
58479	118,186,122	0,0,1	142,111,141	0,2,0	217	149
58480	268,387,281	0,0,1	328,265,327	0,0,0	212	149
58481	379,549,401	1,0,0	462,421,407	2,0,0	237	149
58482	47,60,56	6,1,4	29,35,35	0,3,13	184	149
58483	222,237,313	0,0,0	198,184,239	2,0,2	232	149
58484	509,388,377	4,4,14	372,428,584	9,30,18	267	149
58485	2269,2365,1825	34,18,29	1446,1384,1514	10,8,3	257	149
58486	2818,3178,2210	14,20,32	1982,1685,2195	7,5,8	300	149
58487	3643,4088,3176	3,7,2	2574,2356,2764	0,11,0	298	149
58488	1986,2015,1620	3,7,2	1435,1290,1564	0,11,0	440	149
58489	1788,2057,1692	9,17,8	1291,1225,1583	1,0,5	343	149
58490	996,1367,1022	9,17,8	760,761,889	1,0,5	321	149
58492	249,315,172	1,4,0	182,170,183	0,0,0	264	149
58493	502,530,407	10,1,5	324,350,472	0,0,1	410	149
58494	684,873,633	1,0,2	530,455,607	0,0,0	198	149
58495	313,435,293	31,18,17	301,231,385	17,15,12	586	149
58496	1,1,2	31,18,17	0,0,0	17,15,12	255	149
58497	1113,1553,1074	0,2,0	827,780,871	0,0,0	270	149
58498	3418,4659,3027	14,12,4	2647,2654,2644	14,12,7	247	149
58499	695,783,630	12,6,7	705,657,667	13,15,5	252	149
58500	588,764,542	0,0,2	647,591,673	5,2,4	266	149
58501	465,400,422	0,0,0	398,473,446	1,0,0	237	149
58502	1167,1390,1059	1,0,3	1232,1382,1449	0,0,5	332	149
58503	997,1235,919	31,17,13	1095,1264,1252	52,49,22	246	149
58505	8435,9999,6720	0,2,0	8239,7023,9017	1,0,0	283	149
58506	6877,7846,5520	2,1,0	6682,5738,7130	2,0,0	230	149
58507	3147,3446,3108	1,0,1	2904,2496,3025	1,1,0	209	149
58508	844,803,697	0,1,0	739,874,982	0,0,0	277	149
58509	789,862,662	0,0,0	679,778,833	0,0,2	240	149
58510	641,727,476	0,0,0	625,640,674	0,1,0	322	149
58511	946,1043,937	4,0,0	961,1027,1200	0,0,0	301	149
58512	2639,3380,2336	0,0,0	2478,2502,2952	0,2,0	320	149
58515	595,677,488	2,0,1	636,577,805	0,1,0	258	149
58516	1780,2216,1642	1,2,0	2124,1866,2401	1,0,1	300	149
58517	1404,1604,1219	0,0,0	1860,1572,2008	0,0,2	231	149
58518	1134,1182,745	2,4,2	1150,1218,1366	2,3,16	211	149
58519	2403,2633,1964	6,9,1	2559,2518,2833	6,1,2	224	149
58522	647,837,500	0,0,0	498,598,549	7,0,0	257	149
58523	1,1,6	2,0,0	9,0,1	0,0,0	257	149
58524	4,7,1	11,2,14	13,0,5	15,5,18	257	149
58525	361,418,290	1,1,7	299,321,280	2,1,1	246	149
58526	199,255,212	11,2,14	260,239,222	15,5,18	280	149
58527	5,0,1	0,0,1	0,0,3	3,0,5	280	149
58528	198,256,219	5,7,1	260,240,223	7,2,5	280	149
58529	4543,4916,3795	0,0,1	3640,3779,3911	3,0,5	1834	149
58530	4755,5211,4025	3,0,2	3902,4047,4153	0,0,3	1834	149
58531	1150,1573,1341	5,15,6	1463,2006,2106	4,2,0	637	149
58532	875,1275,1037	5,15,6	1160,1613,1657	4,2,0	590	149
58533	22,77,35	354,476,396	54,48,61	439,650,662	379	149
58534	29,76,30	354,476,396	46,41,43	439,650,662	356	149
58535	7,3,11	0,5,0	7,9,7	0,0,0	220	149
58536	23,27,19	354,476,396	26,21,25	439,650,662	220	149
58537	5,12,7	354,476,396	0,6,5	439,650,662	294	149
58538	9,7,15	20,28,21	8,14,8	28,17,24	294	149
58541	690,790,770	0,0,0	764,824,854	1,0,1	284	149
58542	1597,1912,1970	7,0,0	1885,1874,2116	0,0,0	812	149
58543	24,16,30	212,238,280	32,25,28	239,209,310	317	149
58544	52,69,68	212,238,280	71,75,87	239,209,310	366	149
58545	400,500,415	5,10,4	427,493,427	3,5,4	284	149
58546	10,3,6	193,198,215	1,2,3	214,237,271	201	149
58547	2175,2457,1654	1,0,7	1385,1226,1441	0,0,0	259	149
58548	1353,1632,1211	8,4,6	904,836,1037	0,12,19	232	149
58549	1118,1003,927	9,18,9	699,565,798	7,3,18	238	149
58550	1345,1408,1074	0,0,0	935,703,858	0,3,0	293	149
58551	1183,1411,975	0,0,0	999,911,1024	1,0,0	721	149
58552	1175,1400,971	0,0,0	994,908,1022	1,0,0	695	149
58553	547,700,564	0,0,1	480,453,533	1,0,0	273	149
58554	570,758,513	0,0,1	482,491,479	0,0,0	196	149
58555	1046,1147,944	0,0,0	793,742,890	1,0,0	257	149
58556	554,639,578	0,0,4	443,444,518	0,0,0	257	149
58557	378,475,417	0,0,4	365,309,400	0,0,0	278	149
58558	876,987,795	8,11,12	724,616,778	10,9,7	278	149
58559	1057,1334,890	0,1,0	915,886,1034	0,0,0	276	149
58560	35,36,15	0,1,0	15,18,15	0,0,0	253	149
58561	1241,1420,1051	0,5,2	954,1079,1180	4,9,5	314	149
58562	872,1000,805	0,0,3	903,801,1053	0,0,0	206	149
58563	175,209,166	1,0,0	215,188,261	0,0,0	206	149
58564	458,491,349	1,0,0	493,378,437	0,0,0	261	149
58565	1208,1334,1030	7,6,7	1224,1038,1261	4,3,3	261	149
58566	1454,1831,1355	0,1,0	1533,1405,1612	1,1,0	273	149
58567	90,98,69	193,285,249	96,90,87	272,227,265	298	149
58568	41,12,16	0,0,1	16,23,16	2,1,0	298	149
58569	118,193,184	0,4,0	176,166,178	1,1,8	212	149
58570	107,143,99	67,116,96	129,103,75	109,73,81	190	149
58571	559,789,522	0,0,0	631,685,695	0,0,4	223	149
58572	63,128,57	1,0,1	93,108,98	4,3,6	236	149
58573	181,320,215	0,0,1	298,252,290	0,0,0	236	149
58574	107,116,129	0,0,1	148,122,140	1,0,3	215	149
58575	383,539,433	0,0,3	563,557,717	0,0,0	317	149
58576	328,360,361	0,1,1	440,372,491	0,0,0	259	149
58577	5,6,8	172,177,160	11,10,10	242,186,211	405	149
58578	211,268,166	0,1,0	272,241,325	0,0,0	265	149
58579	318,404,287	59,53,57	414,363,462	50,52,100	289	149
58580	500,529,453	0,5,3	448,496,507	0,0,18	239	149
58581	520,611,535	3,6,3	579,594,692	0,3,5	301	149
58582	241,345,242	2,5,0	252,231,299	0,3,0	301	149
58583	564,684,550	6,3,3	628,669,783	0,1,0	338	149
58584	75,108,96	3,0,0	74,61,74	0,0,0	245	149
58585	8,11,1	868,987,810	3,4,28	707,588,659	277	149
58586	2695,2604,2220	1,5,0	2139,1800,2060	0,1,0	333	149
58587	3560,3457,2807	0,7,0	2927,2743,2957	0,0,0	809	149
58588	1334,1348,1010	0,4,0	1037,1013,1145	2,0,0	268	149
58589	546,630,547	0,0,0	369,414,560	0,0,1	701	149
58590	6,3,14	125,100,109	25,19,3	96,103,90	274	149
58591	284,268,218	0,0,1	187,151,221	0,0,0	391	149
58592	322,341,224	15,3,14	191,214,249	11,2,5	266	149
58593	60,98,52	125,127,117	53,43,99	175,119,136	283	149
58594	1120,1363,1118	24,9,21	1207,1047,1379	24,9,20	803	149
58595	27,27,17	488,475,315	0,5,2	517,411,481	158	149
58597	317,288,222	2,1,0	311,287,311	0,0,0	248	149
58598	555,556,398	0,0,2	560,503,579	0,0,0	263	149
58599	266,314,268	0,0,1	360,246,308	0,0,2	529	149
58600	484,549,435	36,10,39	574,464,547	18,21,24	529	149
58601	414,453,413	1,0,0	476,441,451	3,0,0	315	149
58602	426,457,350	0,0,2	437,418,451	0,0,0	241	149
58605	13,5,9	77,116,89	5,9,7	46,45,36	381	149
58606	160,171,179	0,6,0	188,187,237	0,0,0	236	149
58607	323,295,239	0,0,0	361,359,500	1,0,0	317	149
58610	98,169,98	3,5,8	92,122,107	5,5,3	317	149
58611	91,148,89	2,0,0	88,111,101	3,1,0	317	149
58613	222,305,260	2,0,4	210,197,261	2,0,0	336	149
58615	52,72,59	0,0,4	44,46,44	0,0,0	336	149
58616	283,425,333	3,5,8	269,277,337	5,5,3	336	149
