"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050900","leukocyte migration","54/1293","409/28928",0.132029339853301,2.95386291049983,8.60814992017618,1.18311754678595e-12,6.37700357717625e-09,4.90059741747652e-09,"Csf1/Slit2/Ptn/Pik3r1/Itga3/Vegfc/Lgals9/Rac1/Itga7/Ecm1/Nedd9/Cmklr1/Madcam1/Itga1/Nckap1l/Dysf/Dusp1/Itgb7/Mmp9/Serpine1/Il34/Gas6/Kcnn4/Tlr2/Cxcl1/Spns2/Bdkrb1/Dbh/Cxcl10/Il27ra/Vav3/Itga4/Plcb1/Kit/Icam1/Ptpn22/Itgb2l/Nod2/Lbp/Adam8/Il16/Gpsm3/Pycard/Gcnt1/C3ar1/Lgals3/Prss56/Cd99l2/Fut9/Foxj1/Ptpro/Gpr35/Slamf8/Myo1g",54
"GO:0031589","cell-substrate adhesion","50/1293","377/28928",0.13262599469496,2.96721173591323,8.31634208829995,6.85423100304294e-12,1.84721525532007e-08,1.41954731563021e-08,"Csf1/Anxa2/Ptn/Lamb2/Pik3r1/Itga3/Rac1/Itga7/Tmem8b/Nedd9/Zfp469/Col16a1/Madcam1/Col5a3/Cntn2/Itga1/Pkhd1/Itgb7/Npy/Itga8/Serpine1/Gas6/Smad3/Acvrl1/Fermt1/Bcl6/Fat2/Jag1/Gcnt2/Efna1/Itga5/Col13a1/Itga4/Col26a1/Itgb2l/Edil3/Rin2/Fgl1/Adam8/Epha3/Plau/Vtn/Ccdc80/Frem1/Tek/Otoa/Ecm2/Lims2/Nid2/Myo1g",50
"GO:0002685","regulation of leukocyte migration","39/1293","257/28928",0.151750972762646,3.39509059557449,8.34234819461182,2.42106299234741e-11,4.34984317625085e-08,3.342765921013e-08,"Csf1/Slit2/Ptn/Pik3r1/Vegfc/Lgals9/Rac1/Ecm1/Nedd9/Cmklr1/Madcam1/Nckap1l/Dysf/Dusp1/Mmp9/Serpine1/Il34/Gas6/Tlr2/Spns2/Bdkrb1/Cxcl10/Il27ra/Itga4/Plcb1/Icam1/Ptpn22/Nod2/Lbp/Adam8/Gpsm3/Pycard/Gcnt1/C3ar1/Lgals3/Prss56/Cd99l2/Fut9/Slamf8",39
"GO:0043542","endothelial cell migration","36/1293","237/28928",0.151898734177215,3.39839642867632,8.01943044309944,1.36656232645781e-10,1.84144273490191e-07,1.41511125121355e-07,"Slit2/Ptn/Vegfc/Rac1/Sparc/Ptp4a3/Loxl2/Gpld1/Serpinf1/Cdh5/Atoh8/Ets1/Jcad/Acvrl1/Angpt4/Sp100/Efna1/Bmper/Tns3/Amotl1/Tbxa2r/Itgb2l/Dcn/Rin2/Adam8/Epha2/Mmrn2/Lcn2/Ceacam1/Tek/Rgcc/Sox18/Snai2/Ptprm/Plk2/Hspb1",36
"GO:0007229","integrin-mediated signaling pathway","23/1293","105/28928",0.219047619047619,4.90070342135307,8.66142233842216,1.95198655902402e-10,1.98166546153414e-07,1.52286956178827e-07,"Ptn/Lamb2/Itga3/Itga7/Diaph3/Tec/Madcam1/Itga1/Itgb7/Itga8/Fermt1/Isg15/Itga5/Vav3/Itga4/Lat/Fgr/Itgb2l/Timp1/Tspan32/Lama2/Lims2/Tyrobp",23
"GO:0007160","cell-matrix adhesion","36/1293","241/28928",0.149377593360996,3.34199150869829,7.897188355687,2.2059355787022e-10,1.98166546153414e-07,1.52286956178827e-07,"Csf1/Anxa2/Pik3r1/Itga3/Rac1/Itga7/Tmem8b/Zfp469/Col16a1/Madcam1/Col5a3/Cntn2/Itga1/Pkhd1/Itgb7/Itga8/Serpine1/Smad3/Acvrl1/Fermt1/Bcl6/Jag1/Itga5/Col13a1/Itga4/Itgb2l/Rin2/Fgl1/Adam8/Epha3/Plau/Vtn/Frem1/Tek/Otoa/Nid2",36
"GO:0007411","axon guidance","37/1293","258/28928",0.143410852713178,3.20849895381811,7.70751591483767,4.05400319993943e-10,3.05193373364739e-07,2.34534893895176e-07,"Slit2/Epha7/Lamb2/Lmtk2/Rac1/Nr4a3/Isl1/Sema4g/Cntn2/Sema6c/Epha10/Gbx1/Nrcam/Crppa/Cntn6/Efna3/Efna1/Gdnf/Nfasc/Smo/Cntn5/Draxin/Igfals/Wnt7b/Ece1/Epha3/Ntn1/Lama2/Mypn/Zic2/Kif21a/Robo2/Erbb2/Mnx1/Ptprm/Bcl11b/Ptpro",37
"GO:0097485","neuron projection guidance","37/1293","259/28928",0.142857142857143,3.1961109269694,7.67925533882942,4.52977177535791e-10,3.05193373364739e-07,2.34534893895176e-07,"Slit2/Epha7/Lamb2/Lmtk2/Rac1/Nr4a3/Isl1/Sema4g/Cntn2/Sema6c/Epha10/Gbx1/Nrcam/Crppa/Cntn6/Efna3/Efna1/Gdnf/Nfasc/Smo/Cntn5/Draxin/Igfals/Wnt7b/Ece1/Epha3/Ntn1/Lama2/Mypn/Zic2/Kif21a/Robo2/Erbb2/Mnx1/Ptprm/Bcl11b/Ptpro",37
"GO:0010594","regulation of endothelial cell migration","29/1293","181/28928",0.160220994475138,3.58458849820324,7.54493766471801,2.38056952410703e-09,1.42569663721521e-06,1.09561883945744e-06,"Slit2/Ptn/Vegfc/Rac1/Sparc/Gpld1/Serpinf1/Atoh8/Ets1/Jcad/Acvrl1/Angpt4/Sp100/Efna1/Bmper/Amotl1/Tbxa2r/Dcn/Rin2/Epha2/Mmrn2/Lcn2/Ceacam1/Tek/Rgcc/Snai2/Ptprm/Plk2/Hspb1",29
"GO:0045765","regulation of angiogenesis","40/1293","319/28928",0.125391849529781,2.80536382304524,7.01342188161717,4.46454495904712e-09,2.22460037674853e-06,1.70956009813602e-06,"Ptn/Vegfc/Sparc/Ecm1/Isl1/Tert/Serpinf1/Cdh5/Mmp9/Ets1/Jcad/Serpine1/Ptpn6/Acvrl1/Rapgef3/Angpt4/Cxcl10/Sp100/Efna3/Efna1/Itga5/Bmper/Tlr3/Ecscr/Tafa5/Tbxa2r/Itgb2l/Cnmd/Dcn/Abcc8/Epha2/Ccn6/Ceacam1/Tek/Rgcc/C3ar1/Lgals3/Ptprm/Plk2/Hspb1",40
"GO:0030198","extracellular matrix organization","41/1293","333/28928",0.123123123123123,2.75460611423488,6.96591114592046,4.91464680258092e-09,2.22460037674853e-06,1.70956009813602e-06,"Anxa2/Lamb2/Mmp15/Tnr/Loxl2/Zfp469/Col16a1/Vwa1/Col6a1/Col5a3/Myo1e/Tmem38b/Elf3/Mmp9/Ets1/Itga8/Gas6/Smad3/Fermt1/Col7a1/Spint1/Fkbp10/Col13a1/Bcl3/Comp/Mmp19/Col28a1/Il6/Sulf2/Vtn/Ccdc80/Lama2/Dpt/Rgcc/Lgals3/Adamts2/Ecm2/Tnfrsf1b/Loxl1/Hpse2/Col14a1",41
"GO:0033627","cell adhesion mediated by integrin","20/1293","94/28928",0.212765957446809,4.76016521037995,7.89840924712624,5.03529182807278e-09,2.22460037674853e-06,1.70956009813602e-06,"Itga3/Itga7/Col16a1/Itga1/Nckap1l/Itgb7/Itga8/Serpine1/Ptpn6/Fermt1/Fbn1/Efna1/Itga5/Itga4/Icam1/Itgb2l/Epha2/Plau/Vtn/Snai2",20
"GO:0045229","external encapsulating structure organization","41/1293","334/28928",0.122754491017964,2.74635879053957,6.94369245887846,5.36545545412447e-09,2.22460037674853e-06,1.70956009813602e-06,"Anxa2/Lamb2/Mmp15/Tnr/Loxl2/Zfp469/Col16a1/Vwa1/Col6a1/Col5a3/Myo1e/Tmem38b/Elf3/Mmp9/Ets1/Itga8/Gas6/Smad3/Fermt1/Col7a1/Spint1/Fkbp10/Col13a1/Bcl3/Comp/Mmp19/Col28a1/Il6/Sulf2/Vtn/Ccdc80/Lama2/Dpt/Rgcc/Lgals3/Adamts2/Ecm2/Tnfrsf1b/Loxl1/Hpse2/Col14a1",41
