ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	1638,1987,1839	1,0,2	2573,2547,3300	0,2,0	298	149
1	151,156,171	0,0,0	256,284,430	0,0,2	298	149
2	2660,3624,3502	0,0,0	4415,4442,5250	0,0,2	296	149
3	4153,5467,5183	7,12,15	6734,6704,8130	2,1,10	296	149
4	901,986,1031	0,5,1	887,751,852	0,0,0	298	149
5	4245,6261,4858	592,609,606	6725,7511,8431	693,760,792	298	149
6	2179,3313,2646	894,975,1016	3313,3835,4309	885,750,842	298	149
7	4176,5524,4388	894,975,1016	5975,6258,7132	885,750,842	298	149
8	5826,8125,6228	176,263,234	8789,9291,10557	95,117,94	298	149
169	1635,1920,2085	0,0,0	1180,1232,1262	0,1,0	241	149
170	330,308,360	564,732,714	193,215,241	436,251,371	232	149
172	609,728,782	0,1,2	762,630,853	0,0,0	298	149
173	672,811,869	0,0,0	768,783,911	0,0,4	298	149
174	667,730,918	0,1,0	765,873,899	7,2,6	274	149
179	248,266,234	2,10,6	278,331,343	23,16,15	269	149
180	399,440,408	681,808,779	422,501,540	802,839,1177	269	149
181	4,12,13	681,808,779	38,27,18	802,839,1177	296	149
182	2,2,10	152,175,178	15,13,5	144,172,200	296	149
183	1084,1272,1378	0,0,0	1578,1838,2133	0,0,1	298	149
184	31,76,58	388,441,440	52,68,60	577,668,686	240	149
185	395,438,409	0,0,0	546,478,597	1,2,0	298	149
186	449,465,439	7,13,9	588,498,625	42,31,36	298	149
187	67,60,76	7,13,9	94,121,128	42,31,36	258	149
188	161,197,200	257,235,267	243,311,344	268,286,273	258	149
189	705,733,793	5,0,0	1012,992,1112	0,3,0	298	149
190	314,365,383	5,0,0	502,499,529	0,3,0	298	149
197	66,23,74	1,0,0	42,59,84	0,0,0	298	149
198	642,714,727	0,0,0	749,599,786	4,2,0	278	149
199	1483,1558,1606	13,23,28	1470,1149,1513	38,17,31	278	149
200	1212,1351,1492	0,0,2	1358,1190,1471	2,0,3	242	149
201	1262,1431,1607	3,5,2	1479,1351,1690	5,2,6	233	149
202	0,9,15	626,647,748	4,2,0	691,617,804	267	149
203	505,494,538	15,17,38	618,503,643	35,35,20	194	149
205	240,270,246	0,2,1	195,233,215	0,0,0	259	149
206	106,106,121	0,5,0	77,98,110	1,0,0	205	149
207	1735,1939,2058	0,0,4	1457,1521,1656	0,0,0	231	149
208	676,825,829	0,0,3	933,1065,1151	0,0,0	297	149
209	376,443,459	5,0,3	517,577,693	1,0,0	297	149
210	157,191,173	5,0,3	200,224,245	1,0,0	208	149
211	1,0,0	1,0,0	0,2,0	0,0,0	208	149
212	449,565,538	0,0,0	611,703,699	0,0,1	208	149
213	364,396,348	1,0,0	404,361,498	0,0,0	298	149
214	693,780,743	1,4,0	831,877,1014	1,2,5	298	149
215	683,731,836	0,1,0	774,977,1068	0,0,0	216	149
216	586,617,640	8,0,0	593,755,747	0,0,0	268	149
217	0,2,0	0,0,0	0,0,1	2,0,0	286	149
219	4,6,1	6,0,0	1,8,0	0,0,4	203	149
221	125,121,144	12,15,6	138,174,204	9,6,18	298	149
222	116,138,169	12,15,6	137,204,176	9,6,18	298	149
223	208,247,275	11,0,0	210,279,343	0,0,0	298	149
225	186,175,214	0,1,0	138,135,155	2,0,0	230	149
227	107,175,203	0,0,1	171,211,221	0,0,0	203	149
228	108,123,109	1,0,0	146,147,172	0,0,4	257	149
230	108,128,168	0,2,0	136,168,234	0,0,0	179	149
231	186,250,266	0,0,4	272,363,464	0,0,0	298	149
232	88,116,123	0,0,4	130,205,213	0,0,0	298	149
233	128,178,173	0,7,0	171,255,346	0,0,0	203	149
234	43,74,94	0,7,0	85,127,174	0,4,6	298	149
235	158,210,252	0,7,0	243,360,481	0,4,6	298	149
237	1546,1963,1773	8,2,11	1568,2247,2449	5,6,6	226	149
238	555,730,624	2,0,0	583,829,853	0,0,0	226	149
239	304,413,315	2,0,0	321,385,502	0,0,0	298	149
240	1292,1651,1463	3,0,0	1308,1806,2102	2,0,3	298	149
241	233,315,321	0,0,0	293,422,388	4,0,5	298	149
242	114,193,112	0,0,0	142,173,141	0,0,3	264	149
243	289,353,289	0,1,0	264,319,397	1,0,0	264	149
244	115,173,171	0,1,0	147,189,247	0,0,0	245	149
245	351,459,388	0,0,0	340,392,507	0,0,1	298	149
249	891,1080,988	0,0,2	1173,1220,1492	0,0,0	298	149
250	713,916,845	0,0,0	1119,1151,1346	1,0,0	244	149
251	294,412,345	0,0,0	504,472,564	1,0,0	244	149
252	309,429,290	0,0,0	366,377,383	1,0,0	298	149
253	736,935,795	8,2,5	987,1062,1191	7,6,26	298	149
254	21,8,5	0,0,5	7,14,24	0,0,0	268	149
255	257,355,324	5,3,1	396,356,494	5,3,0	268	149
