"comparison","paper_condition","n_events","pearson_r","pearson_p","spearman_rho","spearman_p","direction_concordance_pct"
"Srrm3+Srrm4_DKD_vs_SRRM3_KO","Srrm3+Srrm4 DKD",16098,0.0549316529996555,3.07316288438726e-12,0.066383580282844,3.41976122372003e-17,31.8983724686296
"Srrm3_KD_vs_SRRM3_KO","Srrm3 KD",16770,0.0696884535767432,1.64152655426907e-19,0.0964661783288324,5.7631765904346e-36,30.9540846750149
"Srrm4_KD_vs_SRRM3_KO","Srrm4 KD",16864,0.0606254314491712,3.28504923593127e-15,0.0536936655487122,3.01004523400747e-12,45.6653225806452
