"GeneID","geneSymbol","n_events_pos","n_sig_pos","n_event_types","event_types","n_microexon","mean_abs_dPSI","n_neg_excl_microexons","neg_excl_mean_dPSI"
"ENSMUSG00000025006","Sorbs1",41,4,5,"A3SS,A5SS,MXE,RI,SE",2,0.055,1,0.149
"ENSMUSG00000026113","Inpp4a",12,3,4,"A3SS,A5SS,MXE,SE",2,0.058,1,0.181
"ENSMUSG00000026860","Sh3glb2",22,3,5,"A3SS,A5SS,MXE,RI,SE",5,0.036,1,0.228
"ENSMUSG00000026977","Marchf7",15,0,4,"A3SS,A5SS,MXE,SE",1,0.014,1,0.187
"ENSMUSG00000027506","Tpd52",15,1,3,"A5SS,MXE,SE",2,0.025,1,0.314
"ENSMUSG00000027523","Gnas",48,0,4,"A3SS,A5SS,MXE,SE",3,0.015,1,0.15
"ENSMUSG00000027646","Src",5,0,1,"SE",1,0.015,1,0.119
"ENSMUSG00000027799","Nbea",16,0,2,"MXE,SE",1,0.012,1,0.201
"ENSMUSG00000028033","Kcnq5",2,0,1,"SE",1,0.151,1,0.353
"ENSMUSG00000028184","Adgrl2",45,3,4,"A3SS,A5SS,MXE,SE",6,0.051,1,0.203
"ENSMUSG00000029055","Plch2",5,4,3,"A5SS,RI,SE",1,0.208,1,0.144
"ENSMUSG00000029148","Nrbp1",13,0,4,"A5SS,MXE,RI,SE",1,0.01,1,0.114
"ENSMUSG00000030172","Erc1",22,0,3,"A5SS,MXE,SE",1,0.027,1,0.163
"ENSMUSG00000031012","Cask",13,2,3,"A5SS,MXE,SE",2,0.033,1,0.169
"ENSMUSG00000031314","Taf1",9,0,3,"A3SS,MXE,SE",1,0.024,1,0.201
"ENSMUSG00000032570","Atp2c1",14,0,3,"A5SS,MXE,SE",1,0.005,1,0.168
"ENSMUSG00000032826","Ank2",21,1,2,"A3SS,SE",3,0.034,1,0.138
"ENSMUSG00000033335","Dnm2",9,0,2,"MXE,SE",2,0.006,1,0.118
"ENSMUSG00000033382","Trappc8",9,0,2,"MXE,SE",1,0.007,1,0.11
"ENSMUSG00000033392","Clasp2",24,1,2,"MXE,SE",6,0.029,1,0.252
"ENSMUSG00000033419","Snap91",52,1,2,"MXE,SE",6,0.029,1,0.195
"ENSMUSG00000033902","Mapkbp1",3,0,1,"SE",1,0.024,1,0.12
"ENSMUSG00000034908","Sidt2",22,0,3,"MXE,RI,SE",1,0.033,1,0.156
"ENSMUSG00000034973","Dop1a",8,0,2,"A3SS,SE",1,0.019,1,0.195
"ENSMUSG00000035954","Dock4",11,0,1,"SE",1,0.01,1,0.164
"ENSMUSG00000036104","Rab3gap1",6,0,1,"SE",1,0.01,1,0.191
"ENSMUSG00000036529","Sbf1",15,0,5,"A3SS,A5SS,MXE,RI,SE",1,0.014,1,0.134
"ENSMUSG00000036578","Fxyd7",2,0,2,"A5SS,SE",1,0.049,1,0.198
"ENSMUSG00000036591","Arhgap21",16,0,5,"A3SS,A5SS,MXE,RI,SE",2,0.012,1,0.21
"ENSMUSG00000037533","Rapgef6",14,0,2,"MXE,SE",2,0.019,1,0.211
"ENSMUSG00000037541","Shank2",6,0,2,"MXE,SE",4,0.042,1,0.216
"ENSMUSG00000037697","Ddhd1",12,3,3,"A3SS,MXE,SE",2,0.071,1,0.202
"ENSMUSG00000039860","Srrm3",8,0,2,"MXE,SE",2,0.01,1,0.114
"ENSMUSG00000040111","Gramd1b",4,0,2,"RI,SE",1,0.004,1,0.133
"ENSMUSG00000040537","Adam22",3,0,1,"SE",1,0.027,1,0.13
"ENSMUSG00000040687","Madd",17,2,4,"A5SS,MXE,RI,SE",1,0.038,1,0.143
"ENSMUSG00000040940","Arhgef1",19,2,4,"A3SS,MXE,RI,SE",1,0.04,1,0.131
"ENSMUSG00000041609","Bicdl1",6,2,2,"A5SS,SE",1,0.058,1,0.126
"ENSMUSG00000041936","Agrn",33,1,5,"A3SS,A5SS,MXE,RI,SE",4,0.024,1,0.323
"ENSMUSG00000041977","Arhgef11",16,1,3,"A3SS,MXE,SE",1,0.025,1,0.146
"ENSMUSG00000043019","Edem3",6,0,3,"A3SS,A5SS,SE",1,0.015,1,0.115
"ENSMUSG00000043831","Lysmd4",4,1,1,"SE",2,0.081,1,0.106
"ENSMUSG00000045482","Trrap",28,0,5,"A3SS,A5SS,MXE,RI,SE",2,0.009,1,0.291
"ENSMUSG00000045983","Eif4g1",43,0,3,"A3SS,MXE,SE",1,0.012,1,0.166
"ENSMUSG00000048078","Tenm4",16,0,3,"A3SS,MXE,SE",2,0.073,1,0.102
"ENSMUSG00000056486","Chn1",37,2,2,"MXE,SE",1,0.035,1,-0.173
"ENSMUSG00000056917","Sipa1",20,0,2,"A3SS,SE",2,0.045,1,0.295
"ENSMUSG00000057541","Pus7",5,0,3,"A3SS,A5SS,SE",1,0.025,1,0.11
"ENSMUSG00000061306","Slc38a10",35,0,3,"A3SS,MXE,SE",1,0.023,1,0.174
"ENSMUSG00000063919","Srrm4",2,0,1,"SE",2,0.048,1,0.128
"ENSMUSG00000066392","Nrxn3",2,1,1,"SE",1,0.068,1,-0.277
"ENSMUSG00000069631","Strada",17,3,3,"A5SS,MXE,SE",3,0.051,1,0.157
"ENSMUSG00000071291","Zfp58",4,0,1,"SE",4,0.03,1,-0.104
"ENSMUSG00000118669","Arvcf",10,1,2,"MXE,SE",1,0.03,1,0.166
