"gene_id_clean","gene_symbol","log2FoldChange","padj"
"ENSMUSG00000026628","Atf3",2.14362573579588,8.00183908706414e-99
"ENSMUSG00000062901","Klhl24",-1.0507754542272,2.75216548301236e-74
"ENSMUSG00000091345","Col6a5",-0.738542733431701,2.19300273562193e-65
"ENSMUSG00000027313","Chac1",0.981801965658132,1.32115272666484e-56
"ENSMUSG00000093930","Hmgcs1",-1.21161762947511,7.36053929827515e-52
"ENSMUSG00000027589","Pcmtd2",-0.944508911953867,3.15621689517897e-51
"ENSMUSG00000030747","Dgat2",1.84931627550806,4.08245372041563e-51
"ENSMUSG00000023087","Noct",-1.17290227973331,1.3918810248833e-50
"ENSMUSG00000028266","Lmo4",1.05485667745827,1.90102364702567e-46
"ENSMUSG00000035049","Rrp12",0.998155388460657,3.89360032201767e-45
"ENSMUSG00000023341","Mx2",-1.4027051476572,5.38614233821037e-45
"ENSMUSG00000037370","Enpp1",-0.929902708865568,1.02370768816997e-44
"ENSMUSG00000026127","Imp4",0.877371550416407,6.46414754797455e-42
"ENSMUSG00000011179","Odc1",0.911507160419061,6.87323696746927e-42
"ENSMUSG00000024083","Pja2",-0.673692867766489,1.83205100092709e-41
"ENSMUSG00000033308","Dpyd",-1.07781311388562,1.8668114704977e-40
"ENSMUSG00000053560","Ier2",0.903931903911387,2.14443119536789e-39
"ENSMUSG00000045312","Lhfpl2",1.29331826253945,4.85509388932641e-39
"ENSMUSG00000015776","Med22",0.713886290685104,5.66178698239013e-39
"ENSMUSG00000028953","Abcf2",0.80321203305418,5.66178698239013e-39
"ENSMUSG00000028669","Pithd1",0.9601367412518,6.68289289220665e-39
"ENSMUSG00000120673","ENSMUSG00000120673",-1.03344116849192,8.88304185392968e-38
"ENSMUSG00000042745","Id1",0.897374415779752,9.90414071668386e-38
"ENSMUSG00000032715","Trib3",0.933717574204276,4.80080891356048e-37
"ENSMUSG00000000567","Sox9",-0.911051703793093,3.41377784312297e-36
"ENSMUSG00000046027","Stard5",1.28038778907261,6.75477729534445e-36
"ENSMUSG00000049957","Ccdc137",0.864005633180739,7.3745901432362e-36
"ENSMUSG00000031278","Acsl4",-0.643430878317224,1.26462704269928e-35
"ENSMUSG00000028957","Per3",-1.18302836117167,2.37910100957927e-35
"ENSMUSG00000047649","Polr1g",1.00205448998215,3.07635911786795e-35
"ENSMUSG00000079316","Rab9",-0.7046208758115,8.98647613891101e-35
"ENSMUSG00000086331","ENSMUSG00000086331",-2.19008698276767,1.87274217400418e-34
"ENSMUSG00000003032","Klf4",1.33609153601685,4.18148454434409e-34
"ENSMUSG00000040479","Dgkz",-0.628264066102271,4.85509308286652e-34
"ENSMUSG00000048376","F2r",-0.692253524036787,7.7476048435949e-34
"ENSMUSG00000021973","Micu2",-0.710618230958231,1.07375224618359e-33
"ENSMUSG00000033105","Lss",-0.865114592040285,1.41716208918267e-33
"ENSMUSG00000039512","Bltp3a",0.648237401969628,1.62545421116484e-33
"ENSMUSG00000042462","Dctpp1",0.842344616591112,3.14431278969862e-33
"ENSMUSG00000020674","Pxdn",-0.625791372196636,4.98145750674151e-33
"ENSMUSG00000010122","Slc47a1",-1.08183406185619,1.36886526792218e-32
"ENSMUSG00000048249","Crebrf",-1.23660884272163,1.75732891949958e-32
"ENSMUSG00000024261","Syt4",1.09032010464685,2.3028561595108e-32
"ENSMUSG00000078652","Psme3",0.678681600373235,3.02834486359267e-32
"ENSMUSG00000026317","Cln8",0.815021080685381,6.24505071721747e-32
"ENSMUSG00000051396","Msantd7",1.15537904254422,9.31631910078669e-32
"ENSMUSG00000028150","Rorc",-0.784657358540668,1.72260348136814e-31
"ENSMUSG00000019295","Tmem129",-0.734086919307084,2.5963954504324e-31
"ENSMUSG00000079487","Med12",-1.00179313888731,2.99378568844033e-31
"ENSMUSG00000040435","Ppp1r15a",2.11104958573104,3.16961991075974e-31
"ENSMUSG00000032338","Hcn4",0.789434396991998,7.08602891915148e-31
"ENSMUSG00000027680","Fxr1",-0.85964702556362,9.76907771892952e-31
"ENSMUSG00000037621","Atoh8",1.15656609676232,1.18950479343958e-30
"ENSMUSG00000056749","Nfil3",0.900285325139091,1.20261277993874e-30
"ENSMUSG00000027404","Snrpb",0.666951524304798,1.2383846664616e-30
"ENSMUSG00000029185","Fam114a1",-0.968941317426471,1.33666457450981e-30
"ENSMUSG00000032328","Tmem30a",-0.666940947780469,1.66878067295249e-30
"ENSMUSG00000042507","Mideas",1.08201739910511,4.13094020857029e-30
"ENSMUSG00000022346","Myc",0.683495031028081,5.91954443522639e-30
"ENSMUSG00000017119","Nbr1",-0.556814210108868,1.189915916678e-29
"ENSMUSG00000031781","Ciapin1",0.6393145967758,1.38078938757178e-29
"ENSMUSG00000095332","ENSMUSG00000095332",-0.963253698238801,3.91260299335652e-29
"ENSMUSG00000025986","Slc39a10",-0.625786139006188,4.47414026731479e-29
"ENSMUSG00000034593","Myo5a",-0.774558923866502,4.60890004948115e-29
"ENSMUSG00000027810","Eif2a",-0.723500374526692,5.43840950705338e-29
"ENSMUSG00000025747","Tyms",0.740384307482841,5.86912294080802e-29
"ENSMUSG00000023055","Calcoco1",-0.712455161761048,8.36859369444596e-29
"ENSMUSG00000038550","Ciart",1.07357712614986,8.80936796298376e-29
"ENSMUSG00000060657","Marf1",-0.633442123991548,1.18099527376018e-28
"ENSMUSG00000020593","Lpin1",-0.847070380150231,1.21579363439525e-28
"ENSMUSG00000052698","Tln2",0.885898199214793,1.44450348740032e-28
"ENSMUSG00000029446","Psph",0.867482067714494,1.50413828602981e-28
"ENSMUSG00000008206","Cers4",-0.607281016203074,1.65845870709458e-28
"ENSMUSG00000040183","Ankrd6",-0.608571291473896,5.98244579757522e-28
"ENSMUSG00000079033","Mef2b",1.27379200009083,7.14434034370485e-28
"ENSMUSG00000031591","Asah1",-0.529228253159975,8.43555023580171e-28
"ENSMUSG00000020130","Tbc1d15",-0.741317792021383,9.420636561143e-28
"ENSMUSG00000078907","Fam186b",1.69510020878617,1.12237445429696e-27
"ENSMUSG00000039356","Exosc2",0.635484819823451,4.65944959813091e-27
"ENSMUSG00000057182","Scn3a",-0.920022966827038,4.65944959813091e-27
"ENSMUSG00000030257","Srgap3",-0.750517926130486,4.73440617946907e-27
"ENSMUSG00000056305","Usp39",0.695505702604136,5.48024740756322e-27
"ENSMUSG00000023845","Lnpep",-0.838562323484823,6.50662775937615e-27
"ENSMUSG00000121498","ENSMUSG00000121498",-2.14208458634909,7.32659375484102e-27
"ENSMUSG00000042496","Prdm10",-0.723924326337055,9.37049672424786e-27
"ENSMUSG00000060950","Trmt61a",1.09402399259692,9.90592242952998e-27
"ENSMUSG00000027350","Chgb",-0.45614800305632,1.0124649662868e-26
"ENSMUSG00000037740","Mrps26",0.831359629384758,1.61922471712951e-26
"ENSMUSG00000047388","Atmin",0.616772483660073,2.0933745795157e-26
"ENSMUSG00000069874","Irgm2",1.11354955511493,2.57739848009018e-26
"ENSMUSG00000033763","Mtss2",0.759671694240186,2.62524509152815e-26
"ENSMUSG00000039747","Orai2",0.839437722156414,2.62696187114344e-26
"ENSMUSG00000038894","Irs2",-0.588531486330276,3.34584625194806e-26
"ENSMUSG00000030603","Psmc4",0.611223637735259,4.24055333790875e-26
"ENSMUSG00000053477","Tcf4",-0.542395939168822,4.24055333790875e-26
"ENSMUSG00000005410","Mcm5",0.837053044384601,5.18313610114846e-26
"ENSMUSG00000026270","Capn10",0.830916432775425,5.51088490115424e-26
"ENSMUSG00000076437","Selenoh",0.659981512796655,6.52268255176658e-26
"ENSMUSG00000024991","Eif3a",-0.556466685666479,8.04605802802708e-26
"ENSMUSG00000035992","Fnip1",-0.711598964586243,1.30453890858178e-25
"ENSMUSG00000028034","Fubp1",-0.767714290399224,1.33746059910733e-25
"ENSMUSG00000042729","Wdr74",0.567743864345475,1.44196574547337e-25
"ENSMUSG00000015143","Actn1",-0.677076043037483,1.7059176160011e-25
"ENSMUSG00000028228","Cpne3",-0.676262160597145,1.97379771888612e-25
"ENSMUSG00000025094","Slc18a2",-1.0808196370282,2.13615758990905e-25
"ENSMUSG00000039220","Ppp1r10",0.697506390465916,2.47191837165693e-25
"ENSMUSG00000000753","Serpinf1",0.90809060699994,2.74925986823756e-25
"ENSMUSG00000005470","Asf1b",0.770294278362411,3.45334200102984e-25
"ENSMUSG00000078942","Naip6",-1.02719894917212,3.96484548090063e-25
"ENSMUSG00000071073","Lrrc73",1.02729111402709,4.50067720536309e-25
"ENSMUSG00000114644","ENSMUSG00000114644",-1.60851317629344,4.60933214700323e-25
"ENSMUSG00000018427","Ypel2",-0.665567817014708,5.64967570276997e-25
"ENSMUSG00000030609","Aen",0.728499865339359,5.87608994324533e-25
"ENSMUSG00000001056","Nhp2",0.644606452440004,6.03818325930811e-25
"ENSMUSG00000060487","Samd5",-0.658164618118173,6.07098056594708e-25
"ENSMUSG00000031700","Gpt2",0.770872210751908,7.21542983049516e-25
"ENSMUSG00000040857","Erf",0.572330797675015,8.08788675035958e-25
"ENSMUSG00000021904","Sema3g",1.19327923924892,9.05372874315383e-25
"ENSMUSG00000006442","Srm",0.59642911120603,1.03309954464194e-24
"ENSMUSG00000061778","Mospd2",-0.961525858032113,1.1559067635776e-24
"ENSMUSG00000070923","Klhl9",-0.567535456985551,1.15877030296967e-24
"ENSMUSG00000052920","Prkg1",-0.887455006212951,1.2922724292132e-24
"ENSMUSG00000017390","Aldoc",-0.9720464490536,1.30014584799844e-24
"ENSMUSG00000016128","Stard13",-0.906809268332979,1.30862467667872e-24
"ENSMUSG00000039081","Zfp503",1.00717029803982,1.50047091385854e-24
"ENSMUSG00000026037","Orc2",0.737990068801481,1.71551261685702e-24
"ENSMUSG00000046618","Olfml2a",-0.925707994732937,1.88059822025314e-24
"ENSMUSG00000020390","Ube2b",-0.636895131639858,2.0002116534895e-24
"ENSMUSG00000035933","Cog5",-0.736252678210226,2.17034380734963e-24
"ENSMUSG00000028164","Manba",-0.663017934366727,3.09106100938595e-24
"ENSMUSG00000038665","Dgki",-0.581122905449723,3.33880205678954e-24
"ENSMUSG00000041313","Slc7a1",0.586373806280327,3.9641157256807e-24
"ENSMUSG00000044288","Cnr1",-0.630212833251815,4.41015067938568e-24
"ENSMUSG00000051098","Mblac2",-0.732400547253758,5.14697623799409e-24
"ENSMUSG00000021266","Wars1",0.770778879137648,7.69534655269389e-24
"ENSMUSG00000072966","Gprasp2",-0.535674606336723,7.86998583569006e-24
"ENSMUSG00000048070","Pirt",-0.937638218297664,8.28666914487736e-24
