"gene_id_clean","gene_symbol","log2FoldChange","padj"
"ENSMUSG00000031026","Trim66",-1.52272570158252,2.60541611866235e-83
"ENSMUSG00000001123","Lgals9",1.37290143321122,9.69961473974136e-83
"ENSMUSG00000001687","Ubl3",-1.18717199450867,9.95963929705362e-83
"ENSMUSG00000047786","Lix1",3.0056509467182,1.15831740593771e-82
"ENSMUSG00000038252","Ncapd2",0.916257582599401,1.66877281037678e-82
"ENSMUSG00000028776","Tinagl1",2.04132304067505,5.93305845875164e-82
"ENSMUSG00000047843","Bri3",-1.66104132563866,1.05070480925796e-81
"ENSMUSG00000001847","Rac1",-1.04825614536575,1.94303460562402e-81
"ENSMUSG00000006517","Mvd",-1.50919324111187,3.90426542800139e-81
"ENSMUSG00000033308","Dpyd",-1.54813065746477,1.25045734950687e-80
"ENSMUSG00000035395","Dcaf8l",2.84795174298513,1.71949022440999e-80
"ENSMUSG00000046223","Plaur",1.27528217784975,8.15301958935254e-80
"ENSMUSG00000057346","Apol9a",2.16543187823521,1.46952832347134e-79
"ENSMUSG00000028121","Bcar3",1.7987541838333,1.47674633469714e-79
"ENSMUSG00000034796","Cpne7",-4.55272612780858,3.45437352019396e-79
"ENSMUSG00000031538","Plat",1.32700047641942,3.49626141638511e-79
"ENSMUSG00000035356","Nfkbiz",1.46826689130678,4.18815125159646e-79
"ENSMUSG00000000149","Gna12",-1.29201094642766,1.42213845354968e-77
"ENSMUSG00000031320","Rps4x",-0.963242982046995,3.03591182214847e-77
"ENSMUSG00000038059","Smim3",1.3555130815561,9.10426060168358e-77
"ENSMUSG00000018593","Sparc",1.13119112107748,1.38885579942863e-76
"ENSMUSG00000029587","Zfp12",-1.21704824524662,2.72854833150346e-75
"ENSMUSG00000068246","Apol9b",2.53403029240454,1.52162242032267e-74
"ENSMUSG00000015243","Abca1",1.41270623423702,1.99692285163582e-74
"ENSMUSG00000028341","Nr4a3",-1.47494278723529,1.28037783925824e-73
"ENSMUSG00000000782","Tcf7",-1.30470798418138,7.61817218522733e-72
"ENSMUSG00000029560","Snx8",-1.1256927606457,1.56071101660403e-71
"ENSMUSG00000003849","Nqo1",1.78533478707907,6.94396179520477e-71
"ENSMUSG00000039377","Hlx",1.4963723631708,3.00837914591022e-70
"ENSMUSG00000059895","Ptp4a3",-1.11855470884639,3.65754603048126e-70
"ENSMUSG00000040183","Ankrd6",-0.967546980775788,6.66673947272027e-70
"ENSMUSG00000032816","Igdcc4",-1.02049788946392,1.77087281996288e-69
"ENSMUSG00000022033","Pbk",1.02893133365512,5.32691994708335e-69
"ENSMUSG00000036181","H1f2",1.23000282247777,1.03916509281557e-68
"ENSMUSG00000039994","Timeless",1.48329901197744,7.3389064900394e-68
"ENSMUSG00000014846","Tppp3",-0.970961730061421,5.61015955442088e-67
"ENSMUSG00000047250","Ptgs1",1.3134942404587,9.08064080779353e-67
"ENSMUSG00000044197","Gpr146",-1.95218208633677,4.39719944274316e-66
"ENSMUSG00000025348","Itga7",1.41267230370708,5.76793187008428e-66
"ENSMUSG00000078716","Tmem8b",-3.81297552745728,1.38794339428892e-65
"ENSMUSG00000025592","Dach2",-4.52156008982186,1.38794339428892e-65
"ENSMUSG00000029623","Pdap1",-1.04499094793939,6.45330035633329e-65
"ENSMUSG00000037995","Igsf9",-1.20865334182582,2.49564190908466e-64
"ENSMUSG00000043068","Fam89a",-1.08943208331085,8.07203984727982e-64
"ENSMUSG00000046794","Ppp1r3b",-4.02361291652116,9.26078318151025e-64
"ENSMUSG00000024027","Glp1r",-1.5359696942766,2.1879446261498e-63
"ENSMUSG00000034205","Loxl2",1.38476642869976,6.07428217970715e-63
"ENSMUSG00000022912","Pros1",3.62236947745274,1.53368374821939e-62
"ENSMUSG00000028108","Ecm1",1.40144603488154,3.32154710847554e-62
"ENSMUSG00000051579","Tceal8",-4.1066384769612,3.96039683671182e-62
"ENSMUSG00000048878","Hexim1",0.962080611067407,1.60702919794492e-61
"ENSMUSG00000051306","Usp42",-1.06783738810172,2.26409757988785e-61
"ENSMUSG00000020121","Srgap1",-2.69052054351591,5.48012200329808e-61
