"GeneID_clean","GeneSymbol","n_events","event_types","max_abs_dPSI"
"ENSMUSG00000113949","Scamp4",2,"SE",0.396
"ENSMUSG00000115099","1700087I21Rik",1,"SE",0.383
"ENSMUSG00000115149","9330188P03Rik",2,"SE",0.182
"ENSMUSG00000116504","I730030J21Rik",1,"SE",0.231
"ENSMUSG00000116718","Gm49668",1,"A5SS",0.161
"ENSMUSG00000117284","Gm7072",1,"MXE",0.153
"ENSMUSG00000117486","Gm30938",1,"SE",0.667
"ENSMUSG00000117679","Apbb3",3,"SE,RI",0.179
"ENSMUSG00000118120","Gm33732",1,"SE",0.162
"ENSMUSG00000121374","ENSMUSG00000121374",1,"SE",0.262
"ENSMUSG00000121449","Pdxk-ps",1,"SE",0.101
"ENSMUSG00000121487","ENSMUSG00000121487",1,"SE",0.168
"ENSMUSG00000121496","Ube2d-ps",4,"SE,A5SS",0.357
