"GeneID_clean","GeneSymbol","n_events","event_types","max_abs_dPSI"
"ENSMUSG00000016664","Pacsin2",1,"SE",0.127
"ENSMUSG00000016940","Kctd2",1,"SE",0.234
"ENSMUSG00000017210","Med24",2,"SE,RI",0.168
"ENSMUSG00000017309","Cd300lg",2,"SE,A3SS",0.653
"ENSMUSG00000017405","Nek8",1,"RI",0.151
"ENSMUSG00000017478","Zc3h18",1,"SE",0.107
"ENSMUSG00000017652","Cd40",1,"SE",0.11
"ENSMUSG00000017670","Elmo2",1,"SE",0.167
"ENSMUSG00000017740","Slc12a5",1,"SE",0.139
"ENSMUSG00000018068","Ints2",2,"SE",0.107
"ENSMUSG00000018507","Trpv2",1,"RI",0.141
"ENSMUSG00000018736","Ndel1",1,"SE",0.111
"ENSMUSG00000018761","Mpdu1",1,"SE",0.121
"ENSMUSG00000019261","Map1s",1,"A3SS",0.173
"ENSMUSG00000019320","Noxo1",1,"RI",0.16
"ENSMUSG00000019732","Calr3",1,"SE",0.128
"ENSMUSG00000019792","Trmt11",1,"SE",0.141
"ENSMUSG00000019823","Mical1",1,"A5SS",0.14
"ENSMUSG00000019878","Hsf2",1,"SE",0.142
"ENSMUSG00000020069","Hnrnph3",1,"SE",0.131
"ENSMUSG00000020131","Pcsk4",2,"SE",0.157
"ENSMUSG00000020225","Tmbim4",1,"SE",0.391
"ENSMUSG00000020359","Phykpl",2,"RI",0.195
"ENSMUSG00000020385","Clk4",1,"SE",0.119
"ENSMUSG00000020590","Snx13",2,"SE",0.249
"ENSMUSG00000020654","Adcy3",1,"RI",0.112
"ENSMUSG00000020674","Pxdn",1,"SE",0.108
"ENSMUSG00000020817","Rabep1",1,"SE",0.168
"ENSMUSG00000020827","Mink1",1,"SE",0.15
"ENSMUSG00000020863","Luc7l3",2,"SE",0.376
"ENSMUSG00000020868","Xylt2",1,"SE",0.107
"ENSMUSG00000021140","Pcnx",1,"SE",0.2
"ENSMUSG00000021281","Tnfaip2",1,"RI",0.114
"ENSMUSG00000021288","Klc1",4,"SE,A5SS",0.168
"ENSMUSG00000021413","Prpf4b",1,"SE",0.171
"ENSMUSG00000021640","Naip1",2,"SE",0.413
"ENSMUSG00000021668","Polk",1,"MXE",0.124
"ENSMUSG00000021798","Ldb3",1,"SE",0.146
"ENSMUSG00000021809","Nudt13",4,"SE,RI",0.167
"ENSMUSG00000021832","Psmc6",1,"SE",0.246
"ENSMUSG00000021916","Glt8d1",1,"SE",0.112
"ENSMUSG00000021918","Nek4",1,"A3SS",0.108
"ENSMUSG00000022012","Enox1",1,"SE",0.102
"ENSMUSG00000022199","Slc22a17",4,"SE,A3SS",0.528
"ENSMUSG00000022228","Zscan26",1,"SE",0.234
"ENSMUSG00000022335","Zfat",1,"A5SS",0.152
"ENSMUSG00000022378","Cyrib",1,"MXE",0.121
"ENSMUSG00000022477","Aco2",1,"SE",0.262
"ENSMUSG00000022635","Zcrb1",1,"SE",0.371
