"GeneID_clean","GeneSymbol","n_events","event_types","max_abs_dPSI"
"ENSMUSG00000013539","Tango2",1,"A3SS",0.524
"ENSMUSG00000014164","Klhl3",1,"SE",0.412
"ENSMUSG00000014444","Piezo1",1,"SE",0.147
"ENSMUSG00000014592","Camta1",1,"SE",0.112
"ENSMUSG00000014668","Chfr",1,"SE",0.208
"ENSMUSG00000014767","Tbp",1,"A5SS",0.12
"ENSMUSG00000015305","Sash1",1,"A5SS",0.148
"ENSMUSG00000015363","Trabd",1,"MXE",0.129
"ENSMUSG00000015377","Dennd6b",2,"A3SS,RI",0.153
"ENSMUSG00000015452","Ager",3,"SE,RI",0.155
"ENSMUSG00000015501","Hivep2",2,"SE",0.594
"ENSMUSG00000015536","Mocs2",1,"A5SS",0.173
"ENSMUSG00000015957","Wnt11",1,"A5SS",0.436
"ENSMUSG00000016510","Mtif3",1,"SE",0.114
"ENSMUSG00000016940","Kctd2",1,"SE",0.357
"ENSMUSG00000017652","Cd40",1,"SE",0.108
"ENSMUSG00000017670","Elmo2",1,"SE",0.107
"ENSMUSG00000017718","Afmid",1,"SE",0.257
"ENSMUSG00000018076","Med13l",1,"A3SS",0.118
"ENSMUSG00000018537","Pcgf2",1,"SE",0.327
"ENSMUSG00000018733","Pex12",1,"SE",0.29
"ENSMUSG00000018906","P4ha2",1,"MXE",0.128
"ENSMUSG00000019143","Hars2",1,"SE",0.179
"ENSMUSG00000019178","Styxl1",2,"SE,A3SS",0.28
"ENSMUSG00000019261","Map1s",2,"SE",0.355
"ENSMUSG00000019302","Atp6v0a1",2,"SE,MXE",0.134
"ENSMUSG00000019320","Noxo1",1,"RI",0.218
"ENSMUSG00000019732","Calr3",1,"SE",0.128
"ENSMUSG00000019813","Cep57l1",1,"SE",0.131
"ENSMUSG00000019823","Mical1",2,"SE,A5SS",0.183
"ENSMUSG00000019878","Hsf2",1,"SE",0.135
"ENSMUSG00000019982","Myb",1,"SE",0.12
"ENSMUSG00000020072","Pbld2",1,"SE",0.167
"ENSMUSG00000020121","Srgap1",1,"SE",0.264
"ENSMUSG00000020131","Pcsk4",2,"SE,MXE",0.157
"ENSMUSG00000020151","Ptprr",1,"SE",0.379
"ENSMUSG00000020160","Meis1",1,"MXE",0.112
"ENSMUSG00000020181","Nav3",1,"MXE",0.244
"ENSMUSG00000020253","Ppm1m",1,"MXE",0.108
"ENSMUSG00000020262","Adarb1",1,"A5SS",0.126
"ENSMUSG00000020329","Polrmt",1,"A5SS",0.167
"ENSMUSG00000020400","Tnip1",1,"SE",0.134
"ENSMUSG00000020409","Slu7",1,"SE",0.112
"ENSMUSG00000020456","Ogdh",2,"SE",0.542
"ENSMUSG00000020458","Rtn4",1,"SE",0.205
"ENSMUSG00000020516","Rps6kb1",2,"SE,MXE",0.336
"ENSMUSG00000020608","Smc6",2,"SE",0.159
"ENSMUSG00000020669","Sh3yl1",1,"RI",0.318
"ENSMUSG00000020696","Rffl",2,"SE",0.346
"ENSMUSG00000020712","Tcam1",1,"A5SS",0.481
"ENSMUSG00000020721","Helz",1,"SE",0.101
"ENSMUSG00000020732","Rab37",1,"SE",0.132
"ENSMUSG00000020814","Mxra7",1,"SE",0.104
"ENSMUSG00000020863","Luc7l3",2,"SE",0.26
"ENSMUSG00000021033","Gstz1",1,"SE",0.108
"ENSMUSG00000021040","Slirp",1,"SE",0.161
"ENSMUSG00000021051","Ppp2r5e",1,"MXE",0.136
"ENSMUSG00000021103","Mnat1",1,"SE",0.221
"ENSMUSG00000021111","Papola",1,"SE",0.142
"ENSMUSG00000021115","Vrk1",1,"SE",0.105
"ENSMUSG00000021123","Rdh12",1,"RI",0.1
"ENSMUSG00000021149","Gtpbp4",1,"RI",0.129
"ENSMUSG00000021156","Zmynd11",1,"A5SS",0.27
"ENSMUSG00000021171","Esyt2",1,"SE",0.121
"ENSMUSG00000021198","Unc79",2,"SE,A3SS",0.211
"ENSMUSG00000021235","Coq6",1,"RI",0.183
"ENSMUSG00000021254","Gpatch2l",5,"SE,MXE",0.22
"ENSMUSG00000021271","Zfp839",1,"SE",0.242
"ENSMUSG00000021275","Tecpr2",2,"A3SS",0.224
"ENSMUSG00000021281","Tnfaip2",1,"RI",0.178
"ENSMUSG00000021313","Ryr2",1,"SE",0.199
"ENSMUSG00000021375","Kif13a",2,"SE",0.212
"ENSMUSG00000021493","Pdlim7",1,"RI",0.212
"ENSMUSG00000021514","Zfp369",1,"SE",0.115
"ENSMUSG00000021557","Agtpbp1",1,"SE",0.124
"ENSMUSG00000021640","Naip1",2,"SE",0.579
"ENSMUSG00000021693","Kif2a",2,"SE,A5SS",0.183
"ENSMUSG00000021711","Trappc13",1,"SE",0.113
"ENSMUSG00000021747","Cfap20dc",1,"SE",0.181
"ENSMUSG00000021772","Nkiras1",1,"SE",0.111
"ENSMUSG00000021773","Comtd1",1,"RI",0.132
"ENSMUSG00000021782","Dlg5",1,"SE",0.2
"ENSMUSG00000021819","Zswim8",2,"RI",0.282
"ENSMUSG00000021868","Ppif",1,"RI",0.155
"ENSMUSG00000021902","Phf7",2,"SE,MXE",0.164
"ENSMUSG00000021978","Extl3",1,"SE",0.177
"ENSMUSG00000022012","Enox1",1,"SE",0.115
"ENSMUSG00000022020","Naa16",1,"SE",0.17
"ENSMUSG00000022064","Pibf1",1,"SE",0.254
"ENSMUSG00000022123","Scel",1,"SE",0.165
"ENSMUSG00000022199","Slc22a17",4,"SE,A3SS",0.367
"ENSMUSG00000022212","Cpne6",1,"RI",0.299
"ENSMUSG00000022228","Zscan26",4,"SE,MXE",0.256
"ENSMUSG00000022263","Trio",1,"SE",0.112
"ENSMUSG00000022299","Slc25a32",1,"MXE",0.109
"ENSMUSG00000022324","Matn2",1,"A3SS",0.407
"ENSMUSG00000022335","Zfat",1,"A5SS",0.18
"ENSMUSG00000022362","Gm29394",1,"SE",0.125
"ENSMUSG00000022377","Asap1",3,"SE,A5SS",0.223
"ENSMUSG00000022570","Gfus",2,"SE",0.456
"ENSMUSG00000022637","Cblb",2,"SE,MXE",0.2
"ENSMUSG00000022680","Pdxdc1",1,"MXE",0.142
"ENSMUSG00000022770","Dlg1",1,"A5SS",0.153
"ENSMUSG00000022773","Ypel1",1,"SE",0.122
"ENSMUSG00000022791","Tnk2",2,"SE",0.327
"ENSMUSG00000023050","Map3k12",2,"SE",0.171
"ENSMUSG00000023051","Tarbp2",2,"SE",0.336
"ENSMUSG00000023191","P3h3",1,"RI",0.122
"ENSMUSG00000023206","Il15ra",3,"SE",0.254
"ENSMUSG00000023235","Ccl25",3,"SE,A5SS,MXE",0.158
"ENSMUSG00000023411","Nfatc4",1,"RI",0.394
"ENSMUSG00000023467","Tulp2",2,"SE",0.172
"ENSMUSG00000023707","Ogfod2",2,"SE,A3SS",0.201
"ENSMUSG00000023935","Spats1",2,"SE",0.204
"ENSMUSG00000023952","Gtpbp2",1,"SE",0.129
"ENSMUSG00000023953","Polh",1,"SE",0.177
"ENSMUSG00000023994","Nfya",1,"SE",0.13
"ENSMUSG00000024008","Cpne5",1,"SE",0.14
"ENSMUSG00000024027","Glp1r",1,"SE",0.102
"ENSMUSG00000024045","Akap8",1,"RI",0.122
"ENSMUSG00000024050","Wiz",1,"MXE",0.129
"ENSMUSG00000024137","E4f1",1,"RI",0.115
"ENSMUSG00000024150","Mcfd2",1,"SE",0.116
"ENSMUSG00000024160","Spsb3",1,"RI",0.103
"ENSMUSG00000024180","Pgap6",2,"RI",0.209
"ENSMUSG00000024188","Luc7l",2,"A5SS,RI",0.233
"ENSMUSG00000024219","Anks1",1,"SE",0.128
"ENSMUSG00000024287","Thoc1",1,"RI",0.226
"ENSMUSG00000024349","Sting1",1,"SE",0.252
"ENSMUSG00000024387","Csnk2b",1,"SE",0.344
"ENSMUSG00000024392","Bag6",3,"SE,A3SS,MXE",0.147
"ENSMUSG00000024530","Prelid3a",1,"SE",0.203
"ENSMUSG00000024542","Cep192",1,"SE",0.703
"ENSMUSG00000024566","Atp9b",3,"SE,MXE",0.133
"ENSMUSG00000024668","Sdhaf2",2,"A5SS,RI",0.133
"ENSMUSG00000024743","Syt7",4,"SE,MXE",0.137
"ENSMUSG00000024776","Stambpl1",1,"A5SS",0.109
"ENSMUSG00000024795","Kif20b",1,"A3SS",0.146
"ENSMUSG00000024807","Syvn1",2,"RI",0.173
"ENSMUSG00000024818","Slc25a45",1,"RI",0.129
"ENSMUSG00000024830","Rps6kb2",1,"RI",0.128
"ENSMUSG00000024858","Grk2",1,"SE",0.157
"ENSMUSG00000024889","Rce1",1,"A5SS",0.328
"ENSMUSG00000024926","Kat5",1,"SE",0.139
"ENSMUSG00000024937","Ehbp1l1",3,"SE,A5SS,MXE",0.234
"ENSMUSG00000024953","Prdx5",1,"RI",0.129
"ENSMUSG00000024969","Mark2",1,"SE",0.229
"ENSMUSG00000024985","Tcf7l2",5,"SE,A3SS",0.198
"ENSMUSG00000024989","Cep55",1,"SE",0.124
"ENSMUSG00000025133","Ints4",1,"SE",0.115
"ENSMUSG00000025138","Sirt7",3,"SE,RI",0.285
"ENSMUSG00000025165","Sectm1a",2,"SE,MXE",0.657
"ENSMUSG00000025473","Adam8",1,"RI",0.378
"ENSMUSG00000025508","Rplp2",1,"MXE",0.102
"ENSMUSG00000025575","Cant1",1,"A3SS",0.117
"ENSMUSG00000025597","Klhl4",1,"A5SS",0.317
"ENSMUSG00000025648","Pfkfb4",1,"A3SS",0.141
"ENSMUSG00000025665","Rps6ka6",1,"A3SS",0.134
"ENSMUSG00000025728","Pigq",5,"SE",0.373
"ENSMUSG00000025762","Larp1b",2,"SE",0.249
"ENSMUSG00000025766","D3Ertd751e",2,"SE,RI",0.165
"ENSMUSG00000025920","Stau2",1,"SE",0.25
"ENSMUSG00000026004","Kansl1l",1,"A3SS",0.296
"ENSMUSG00000026005","Rpe",1,"SE",0.122
"ENSMUSG00000026096","Osgepl1",1,"SE",0.143
"ENSMUSG00000026121","Sema4c",2,"SE,A3SS",0.276
"ENSMUSG00000026153","Fam135a",2,"SE,A3SS",0.249
"ENSMUSG00000026189","Pecr",1,"SE",0.11
"ENSMUSG00000026455","Klhl12",1,"A3SS",0.101
"ENSMUSG00000026456","Cyb5r1",1,"A3SS",0.345
"ENSMUSG00000026527","Rgs7",2,"SE",0.257
"ENSMUSG00000026589","Sec16b",1,"SE",0.178
"ENSMUSG00000026605","Cenpf",1,"A5SS",0.323
"ENSMUSG00000026615","Eprs",1,"SE",0.103
"ENSMUSG00000026672","Optn",1,"SE",0.104
"ENSMUSG00000026708","Cenpl",1,"RI",0.151
"ENSMUSG00000026743","Mllt10",4,"SE",0.222
"ENSMUSG00000026767","Mindy3",2,"SE",0.101
"ENSMUSG00000026816","Gtf3c5",2,"SE,MXE",0.716
"ENSMUSG00000026821","Ralgds",1,"A3SS",0.121
"ENSMUSG00000026856","Dolpp1",1,"SE",0.275
"ENSMUSG00000026867","Gapvd1",1,"A5SS",0.133
"ENSMUSG00000026883","Dab2ip",1,"RI",0.175
"ENSMUSG00000026921","Egfl7",1,"SE",0.125
"ENSMUSG00000026927","Entr1",2,"SE,RI",0.141
"ENSMUSG00000026941","Mamdc4",2,"SE",0.243
"ENSMUSG00000027035","Cers6",1,"SE",0.146
"ENSMUSG00000027200","Sema6d",1,"A3SS",0.171
"ENSMUSG00000027201","Myef2",2,"SE",0.142
"ENSMUSG00000027247","Arhgap1",3,"SE,RI",0.772
"ENSMUSG00000027257","Pacsin3",2,"SE",0.253
"ENSMUSG00000027263","Tubgcp4",2,"A3SS,RI",0.173
"ENSMUSG00000027281","Slx4ip",1,"SE",0.302
"ENSMUSG00000027282","Mtch2",1,"SE",0.229
"ENSMUSG00000027291","Vps39",1,"RI",0.141
"ENSMUSG00000027318","Adam33",1,"RI",0.252
"ENSMUSG00000027338","Prnd",1,"RI",0.413
"ENSMUSG00000027356","Fermt1",2,"SE",0.448
"ENSMUSG00000027469","Tpx2",1,"A5SS",0.141
"ENSMUSG00000027550","Lrrcc1",1,"A3SS",0.118
"ENSMUSG00000027584","Oprl1",3,"SE,MXE",0.418
"ENSMUSG00000027598","Itch",1,"MXE",0.129
"ENSMUSG00000027639","Samhd1",2,"SE,RI",0.157
"ENSMUSG00000027660","Skil",1,"A5SS",0.136
"ENSMUSG00000027673","Ndufb5",1,"SE",0.425
"ENSMUSG00000027677","Ttc14",1,"A3SS",0.183
"ENSMUSG00000027936","Crtc2",1,"RI",0.258
"ENSMUSG00000027956","Tmem144",1,"SE",0.431
"ENSMUSG00000028041","Adam15",1,"A3SS",0.51
"ENSMUSG00000028048","Gba",1,"SE",0.158
"ENSMUSG00000028060","Khdc4",1,"A3SS",0.138
"ENSMUSG00000028175","Depdc1a",1,"SE",0.128
"ENSMUSG00000028184","Adgrl2",4,"SE,A3SS",0.474
"ENSMUSG00000028312","Smc2",1,"SE",0.1
"ENSMUSG00000028441","1110017D15Rik",1,"SE",0.319
"ENSMUSG00000028467","Gba2",1,"RI",0.224
"ENSMUSG00000028478","Clta",1,"SE",0.112
"ENSMUSG00000028487","Bnc2",3,"SE",0.15
"ENSMUSG00000028523","Dynlt5",1,"SE",0.132
"ENSMUSG00000028545","Bend5",1,"SE",0.159
"ENSMUSG00000028549","Itgb3bp",1,"MXE",0.111
"ENSMUSG00000028563","Tm2d1",2,"SE",0.224
"ENSMUSG00000028601","Echdc2",1,"MXE",0.14
"ENSMUSG00000028621","Cyb5rl",1,"RI",0.413
"ENSMUSG00000028641","P3h1",1,"SE",0.32
"ENSMUSG00000028687","Mutyh",2,"SE",0.216
"ENSMUSG00000028693","Nasp",2,"SE,MXE",0.443
"ENSMUSG00000028706","Nsun4",1,"SE",0.125
"ENSMUSG00000028751","Pla2g2e",1,"SE",0.177
"ENSMUSG00000028760","Eif4g3",4,"SE,A3SS",0.286
"ENSMUSG00000028797","Tmem234",4,"SE,A5SS,MXE",0.154
"ENSMUSG00000028811","Yars",1,"SE",0.667
"ENSMUSG00000028919","Arhgef19",1,"SE",0.234
"ENSMUSG00000028943","Espn",3,"SE,A3SS",0.171
"ENSMUSG00000028995","Hycc1",1,"SE",0.178
"ENSMUSG00000029001","Fbxo44",1,"SE",0.211
"ENSMUSG00000029047","Pex10",1,"RI",0.138
"ENSMUSG00000029055","Plch2",5,"SE,A5SS,RI",0.301
"ENSMUSG00000029104","Htt",1,"SE",0.15
"ENSMUSG00000029106","Add1",3,"SE,A5SS",0.331
"ENSMUSG00000029127","Zbtb49",2,"SE,MXE",0.177
"ENSMUSG00000029130","Rnf32",2,"SE",0.14
"ENSMUSG00000029131","Dnajb6",1,"SE",0.1
"ENSMUSG00000029165","Agbl5",2,"SE,RI",0.21
"ENSMUSG00000029283","Cdc7",1,"RI",0.117
"ENSMUSG00000029359","Tesc",2,"MXE,RI",0.157
"ENSMUSG00000029403","Cdkl2",1,"MXE",0.106
"ENSMUSG00000029406","Pitpnm2",1,"SE",0.215
"ENSMUSG00000029439","Sfswap",1,"A5SS",0.104
"ENSMUSG00000029461","Fam168a",2,"SE,MXE",0.253
"ENSMUSG00000029478","Ncor2",1,"SE",0.104
"ENSMUSG00000029505","Ep400",2,"SE,A3SS",0.142
"ENSMUSG00000029561","Oasl2",1,"SE",0.157
"ENSMUSG00000029676","Pot1a",1,"SE",0.194
"ENSMUSG00000029716","Tfr2",1,"SE",0.13
"ENSMUSG00000029767","Calu",3,"SE,MXE",0.166
"ENSMUSG00000029769","Ccdc136",3,"SE",0.222
"ENSMUSG00000029778","Adcyap1r1",1,"MXE",0.101
"ENSMUSG00000029817","Tra2a",1,"SE",0.13
"ENSMUSG00000030016","Zfp638",4,"SE",0.182
"ENSMUSG00000030089","Slc41a3",1,"SE",0.139
"ENSMUSG00000030102","Itpr1",1,"A3SS",0.566
"ENSMUSG00000030177","Ccdc77",1,"A3SS",0.333
"ENSMUSG00000030188","Magohb",1,"SE",0.177
"ENSMUSG00000030345","Dyrk4",1,"SE",0.101
"ENSMUSG00000030409","Dmpk",3,"SE,A5SS,RI",0.186
"ENSMUSG00000030505","Prmt3",2,"SE",0.211
"ENSMUSG00000030509","Asb7",2,"SE,MXE",0.12
"ENSMUSG00000030512","Snrpa1",1,"RI",0.295
"ENSMUSG00000030556","Lrrc28",3,"SE,A3SS",0.206
"ENSMUSG00000030583","Sipa1l3",1,"A3SS",0.192
"ENSMUSG00000030589","Rasgrp4",1,"A5SS",0.508
"ENSMUSG00000030663","1110004F10Rik",2,"SE,MXE",1
"ENSMUSG00000030741","Spns1",1,"RI",0.14
"ENSMUSG00000030811","Fbxl19",2,"A5SS",0.159
"ENSMUSG00000030815","Phkg2",1,"RI",0.102
"ENSMUSG00000030876","Mettl9",1,"SE",0.212
"ENSMUSG00000030922","Lyrm1",1,"SE",0.421
"ENSMUSG00000031105","Slc25a14",2,"SE",0.267
"ENSMUSG00000031150","Ccdc120",1,"SE",0.109
"ENSMUSG00000031171","Ftsj1",1,"RI",0.24
"ENSMUSG00000031256","Cstf2",4,"SE,A3SS,RI",0.291
"ENSMUSG00000031297","Slc7a3",1,"RI",0.122
"ENSMUSG00000031367","Ap1s2",1,"SE",0.755
"ENSMUSG00000031485","Plpbp",3,"SE",0.255
"ENSMUSG00000031497","Tnfsf13b",1,"SE",0.177
"ENSMUSG00000031570","Plpp5",1,"RI",0.145
"ENSMUSG00000031608","Galnt7",2,"SE,MXE",0.109
"ENSMUSG00000031667","Aktip",1,"A3SS",0.146
"ENSMUSG00000031671","Setd6",4,"SE",0.285
"ENSMUSG00000031736","Crnde",8,"SE,A5SS,MXE",0.21
"ENSMUSG00000031813","Mvb12a",1,"SE",0.172
"ENSMUSG00000031835","Mbtps1",1,"SE",0.103
"ENSMUSG00000031858","Mau2",2,"A5SS,RI",0.117
"ENSMUSG00000031901","Dus2",1,"SE",0.115
"ENSMUSG00000031939","Taf1d",1,"RI",0.109
"ENSMUSG00000031948","Kars",2,"SE",0.133
"ENSMUSG00000031982","Arv1",2,"A3SS,MXE",0.158
"ENSMUSG00000032067","Pts",1,"A3SS",0.118
"ENSMUSG00000032186","Tmod2",2,"SE",0.267
"ENSMUSG00000032212","Sltm",2,"SE",0.439
"ENSMUSG00000032217","Rnf111",3,"SE,A3SS",0.122
"ENSMUSG00000032254","Kif23",1,"SE",0.243
"ENSMUSG00000032258","Lca5",1,"SE",0.285
"ENSMUSG00000032292","Nr2e3",1,"SE",0.431
"ENSMUSG00000032412","Atp1b3",1,"SE",0.158
"ENSMUSG00000032423","Syncrip",1,"SE",0.131
"ENSMUSG00000032479","Map4",3,"SE,MXE",0.226
"ENSMUSG00000032480","Dhx30",2,"SE,RI",0.332
"ENSMUSG00000032497","Lrrfip2",3,"SE,MXE",0.274
"ENSMUSG00000032534","Cep63",4,"SE,MXE",0.306
"ENSMUSG00000032637","Atxn2l",3,"SE,A5SS",0.226
"ENSMUSG00000032641","Gpr19",2,"SE",0.148
"ENSMUSG00000032712","Resf1",1,"SE",0.13
"ENSMUSG00000032826","Ank2",1,"A3SS",0.118
"ENSMUSG00000033102","Cdc14b",2,"SE",0.535
"ENSMUSG00000033177","Tmprss7",1,"SE",0.126
"ENSMUSG00000033213","AA467197",1,"SE",0.331
"ENSMUSG00000033419","Snap91",1,"MXE",0.145
"ENSMUSG00000033434","Gtpbp6",1,"SE",0.159
"ENSMUSG00000033467","Crlf2",2,"SE",0.153
"ENSMUSG00000033486","Catsper2",4,"SE",0.756
"ENSMUSG00000033488","Cryzl2",1,"SE",0.14
"ENSMUSG00000033526","Ppip5k1",1,"SE",0.176
"ENSMUSG00000033530","Ttc7b",1,"MXE",0.11
"ENSMUSG00000033543","Gtf2a2",1,"SE",0.139
"ENSMUSG00000033569","Adgrb3",1,"SE",0.167
"ENSMUSG00000033594","Spata2l",1,"SE",0.134
"ENSMUSG00000033730","Egr3",1,"SE",0.126
"ENSMUSG00000033767","Tmem131l",1,"SE",0.124
"ENSMUSG00000033768","Nrxn2",4,"SE,A3SS",0.465
"ENSMUSG00000033987","Dnah17",2,"SE",0.335
"ENSMUSG00000034006","Slc66a2",1,"SE",0.167
"ENSMUSG00000034032","Rpap1",1,"SE",0.129
"ENSMUSG00000034035","Ccdc17",1,"SE",0.382
"ENSMUSG00000034041","Lyl1",1,"A5SS",0.157
"ENSMUSG00000034071","Zfp551",1,"SE",0.193
"ENSMUSG00000034165","Ccnd3",6,"SE,A5SS",0.617
"ENSMUSG00000034173","Zbed5",1,"SE",0.103
"ENSMUSG00000034201","Gas2l1",2,"SE",0.205
"ENSMUSG00000034211","Mrps17",6,"SE,RI",0.151
"ENSMUSG00000034235","Usp54",1,"SE",0.221
"ENSMUSG00000034252","Senp6",2,"SE,MXE",0.343
"ENSMUSG00000034274","Thoc5",1,"SE",0.162
"ENSMUSG00000034303","Ccdc15",1,"A5SS",0.186
"ENSMUSG00000034327","Kctd9",1,"A3SS",0.11
"ENSMUSG00000034334","Fam151b",1,"SE",0.396
"ENSMUSG00000034462","Pkd2",1,"SE",0.236
"ENSMUSG00000034473","Sec22a",1,"SE",0.349
"ENSMUSG00000034602","Mon2",1,"SE",0.106
"ENSMUSG00000034675","Dbn1",1,"RI",0.182
"ENSMUSG00000034709","Ppp1r21",1,"MXE",0.13
"ENSMUSG00000034757","Tmub2",1,"SE",0.142
"ENSMUSG00000034762","Glis1",1,"SE",0.115
"ENSMUSG00000034928","Rnf44",1,"A3SS",0.114
"ENSMUSG00000034940","Synrg",3,"SE",0.237
"ENSMUSG00000035021","Baz1a",2,"SE,A3SS",0.207
"ENSMUSG00000035112","Wnk4",1,"SE",0.159
"ENSMUSG00000035173","Ccdc186",1,"SE",0.299
"ENSMUSG00000035181","Heatr5a",1,"SE",0.22
"ENSMUSG00000035211","Xrra1",1,"MXE",0.279
"ENSMUSG00000035273","Hpse",1,"SE",0.129
"ENSMUSG00000035429","Ptprh",1,"SE",0.171
"ENSMUSG00000035469","Rcbtb1",1,"A3SS",0.656
"ENSMUSG00000035476","Tab3",2,"SE,A3SS",0.121
"ENSMUSG00000035620","Ric8b",1,"SE",0.376
"ENSMUSG00000035629","Rubcn",1,"SE",0.138
"ENSMUSG00000035725","Prkx",1,"SE",0.1
"ENSMUSG00000035757","Selenoo",1,"A5SS",0.134
"ENSMUSG00000035770","Dync1li2",1,"SE",0.271
"ENSMUSG00000035778","Ggta1",1,"SE",0.116
"ENSMUSG00000035781","R3hdm4",1,"SE",0.116
"ENSMUSG00000035929","H2-Q4",1,"RI",0.468
"ENSMUSG00000036053","Fmnl2",2,"SE,A5SS",0.194
"ENSMUSG00000036073","Galt",1,"RI",0.196
"ENSMUSG00000036185","Sapcd1",2,"SE",0.192
"ENSMUSG00000036202","Rif1",1,"SE",0.101
"ENSMUSG00000036270","Edc4",1,"A3SS",0.139
"ENSMUSG00000036281","Snapc4",3,"SE,A5SS,RI",0.405
"ENSMUSG00000036371","Serbp1",1,"SE",0.538
"ENSMUSG00000036555","Iqce",1,"SE",0.111
"ENSMUSG00000036580","Spg20",1,"SE",0.109
"ENSMUSG00000036737","Oxsr1",1,"SE",0.16
"ENSMUSG00000036768","Kif15",2,"SE,A3SS",0.183
"ENSMUSG00000036817","Sun1",4,"SE,A3SS",0.151
"ENSMUSG00000036882","Arhgap33",1,"SE",0.13
"ENSMUSG00000036893","Ehmt1",2,"SE",0.301
"ENSMUSG00000036977","Anapc10",2,"A3SS",0.201
"ENSMUSG00000037017","Zscan21",1,"A5SS",0.102
"ENSMUSG00000037032","Apbb1",2,"SE,A3SS",0.171
"ENSMUSG00000037103","Dcaf15",1,"A5SS",0.14
"ENSMUSG00000037148","Arhgap10",1,"SE",0.102
"ENSMUSG00000037369","Kdm6a",3,"SE,MXE",0.184
"ENSMUSG00000037552","Plekhg2",2,"A3SS",0.183
"ENSMUSG00000037720","Tmem33",1,"RI",0.109
"ENSMUSG00000037773","Pced1a",1,"RI",0.114
"ENSMUSG00000037805","Rpl10a",1,"RI",0.252
"ENSMUSG00000037816","Fbxw17",3,"A3SS,A5SS",0.238
"ENSMUSG00000037907","Ankrd13b",1,"SE",0.112
"ENSMUSG00000037935","Smarce1",1,"SE",0.51
