"GeneID_clean","GeneSymbol","n_events","event_types","max_abs_dPSI"
"ENSMUSG00000000127","Fer",1,"MXE",0.313
"ENSMUSG00000000131","Xpo6",1,"SE",0.148
"ENSMUSG00000000296","Tpd52l1",2,"SE",0.592
"ENSMUSG00000000355","Mcts1",1,"MXE",0.133
"ENSMUSG00000000568","Hnrnpd",1,"SE",0.258
"ENSMUSG00000000838","Fmr1",1,"A3SS",0.141
"ENSMUSG00000000915","Hip1r",1,"RI",0.15
"ENSMUSG00000001036","Epn2",1,"SE",0.11
"ENSMUSG00000001062","Vps9d1",2,"RI",0.127
"ENSMUSG00000001520","Nrip2",1,"RI",0.126
"ENSMUSG00000001844","Zdhhc4",1,"SE",0.137
"ENSMUSG00000002031","Ift46",3,"SE",0.809
"ENSMUSG00000002032","Tmem25",1,"MXE",0.177
"ENSMUSG00000002104","Rapsn",1,"SE",0.192
"ENSMUSG00000002105","Slc39a13",1,"SE",0.118
"ENSMUSG00000002395","Use1",1,"SE",0.11
"ENSMUSG00000002578","Ikzf4",1,"SE",0.186
"ENSMUSG00000002602","Axl",1,"SE",0.307
"ENSMUSG00000002771","Grin2d",1,"SE",0.121
"ENSMUSG00000002799","Jag2",1,"SE",0.174
"ENSMUSG00000002885","Adgre5",2,"SE",0.214
"ENSMUSG00000002908","Kcnn1",1,"A5SS",0.15
"ENSMUSG00000003033","Ap1m1",1,"SE",0.28
"ENSMUSG00000003198","Zfp959",1,"SE",0.291
"ENSMUSG00000003282","Plag1",1,"SE",0.366
"ENSMUSG00000003575","Crtc1",1,"SE",0.191
"ENSMUSG00000004018","Fancl",2,"SE",0.415
"ENSMUSG00000004207","Psap",1,"SE",0.129
"ENSMUSG00000004285","Atp6v1f",1,"SE",0.2
"ENSMUSG00000004677","Myo9b",3,"SE,A3SS,RI",0.168
"ENSMUSG00000004789","Dlst",1,"SE",0.397
"ENSMUSG00000004892","Bcan",1,"MXE",0.106
"ENSMUSG00000004896","Rrnad1",1,"SE",0.187
"ENSMUSG00000004933","Matk",1,"RI",0.154
"ENSMUSG00000005069","Pex5",2,"SE",0.154
"ENSMUSG00000005131","4930550C14Rik",1,"SE",0.543
"ENSMUSG00000005625","Psmd4",1,"RI",0.217
"ENSMUSG00000005687","Bcas2",1,"RI",0.144
"ENSMUSG00000005893","Nr2c2",1,"SE",0.334
"ENSMUSG00000005947","Itgae",1,"MXE",0.218
"ENSMUSG00000006301","Tmbim1",1,"RI",0.438
"ENSMUSG00000006369","Fbln1",1,"SE",0.678
"ENSMUSG00000006476","Nsmf",1,"SE",0.114
"ENSMUSG00000006649","Nphs1",3,"SE,MXE",0.366
"ENSMUSG00000006673","Qrich1",3,"SE",0.207
"ENSMUSG00000006720","Zfp184",1,"A5SS",0.15
"ENSMUSG00000007570","Fance",1,"A3SS",0.138
"ENSMUSG00000007610","Gtpbp3",1,"SE",0.182
"ENSMUSG00000007850","Hnrnph1",1,"SE",0.242
"ENSMUSG00000008028","1700008O03Rik",1,"RI",0.246
"ENSMUSG00000008129","Brme1",1,"SE",0.365
"ENSMUSG00000008167","Fbxw9",1,"RI",0.185
"ENSMUSG00000008305","Tle1",1,"SE",0.131
"ENSMUSG00000008496","Pou2f2",1,"A3SS",0.141
"ENSMUSG00000009621","Vav2",2,"SE",0.197
"ENSMUSG00000009894","Snap47",1,"SE",0.147
"ENSMUSG00000010066","Cacna2d2",1,"A3SS",0.554
"ENSMUSG00000011658","Fuz",1,"RI",0.128
"ENSMUSG00000011877","Git1",1,"MXE",0.119
"ENSMUSG00000012296","Tjap1",1,"SE",0.127
"ENSMUSG00000013483","Card14",2,"SE,RI",0.52
