"gene_id","gene_symbol","DE_log2FC","DE_padj","DE_baseMean","GeneSymbol","splicing_n_events","splicing_event_types","splicing_max_abs_dPSI","splicing_best_dPSI","splicing_min_FDR"
"ENSMUSG00000034543","Morc2a",1.52746791447741,1.90414861459739e-213,17918.6662024852,"Morc2a",1,"MXE",0.268,-0.268,0
"ENSMUSG00000031558","Slit2",-2.40182726168004,2.97400087058801e-169,2210.31782182664,"Slit2",1,"SE",0.22,-0.22,0.00109996440603661
"ENSMUSG00000029625","Cpsf4",-1.3377713484166,2.42218482913271e-116,4875.88959065099,"Cpsf4",6,"A3SS,RI",0.236,-0.236,0
"ENSMUSG00000029361","Nos1",-1.62263547459706,3.33134592979085e-113,9580.22096451577,"Nos1",1,"MXE",0.148,0.148,3.58567397995554e-10
"ENSMUSG00000026860","Sh3glb2",-1.01760963943874,1.08601326574668e-87,9157.77571756356,"Sh3glb2",1,"SE",0.102,-0.102,8.35987223704826e-05
"ENSMUSG00000036555","Iqce",-1.39601899517513,2.51751616859428e-87,2040.37098956441,"Iqce",1,"SE",0.407,0.407,4.02231637073725e-05
"ENSMUSG00000024059","Clip4",-3.82096645383166,1.60509607996852e-73,268.993530109018,"Clip4",1,"A5SS",0.588,0.588,0.00934809621242734
"ENSMUSG00000085936","2610307P16Rik",2.16490406601182,1.22187129646016e-70,519.246192987619,"2610307P16Rik",4,"SE,MXE",0.175,-0.175,5.76005833718742e-06
"ENSMUSG00000036817","Sun1",-0.969738474887513,2.03060921232774e-70,9407.92190340874,"Sun1",4,"SE,A3SS",0.16,0.16,0.00033674023641401
"ENSMUSG00000004891","Nes",1.64664955946343,1.03807943927477e-66,4966.29773536134,"Nes",1,"RI",0.122,-0.122,0.0277973280287997
"ENSMUSG00000029095","Ablim2",-1.43208207039516,4.11607890009186e-63,1358.06052855869,"Ablim2",3,"SE",0.214,0.214,0.00220990718275819
"ENSMUSG00000031442","Mcf2l",2.83580384415796,6.43867050100708e-61,198.343051564156,"Mcf2l",1,"RI",0.312,-0.312,3.84534196168319e-05
"ENSMUSG00000061462","Obscn",-1.4603757349693,1.86304473089901e-60,1011.88397957504,"Obscn",1,"SE",0.303,0.303,0.0485918687881569
"ENSMUSG00000029761","Cald1",0.910697761612249,8.97559889650831e-60,17723.145552682,"Cald1",2,"SE",0.16,-0.16,2.35242304680994e-06
"ENSMUSG00000070337","Gpr179",-2.07816217917329,9.67693914581058e-60,469.666451115179,"Gpr179",2,"SE,MXE",0.196,0.196,0.0254133368527242
"ENSMUSG00000041351","Rap1gap",-1.18594465939502,6.75949367966062e-57,1326.01615801046,"Rap1gap",1,"SE",0.21,0.21,0.0225310930834024
"ENSMUSG00000040690","Col16a1",1.18120171908249,1.04837873713772e-49,2187.58929163247,"Col16a1",1,"SE",0.101,-0.101,7.37082002052797e-06
"ENSMUSG00000022142","Nup155",0.949421804821786,2.20505537526962e-49,10846.5396759039,"Nup155",1,"SE",0.147,-0.147,0.00118080113205882
"ENSMUSG00000037572","Wdhd1",1.08325818498113,2.76770725405119e-49,2554.83423579334,"Wdhd1",1,"MXE",0.104,0.104,0.0175284935890382
"ENSMUSG00000045349","Sh2d5",-1.22383012247893,5.64958065287387e-48,1549.76458262599,"Sh2d5",1,"SE",0.694,0.694,3.14650505209423e-08
"ENSMUSG00000030254","Rad18",0.882416476754099,1.03015718131523e-46,4442.55874513307,"Rad18",1,"SE",0.612,-0.612,2.31944140474548e-07
"ENSMUSG00000037348","Paqr7",-0.827025211356221,4.05833462934823e-46,3181.41910124688,"Paqr7",1,"SE",0.741,0.741,5.49297110078523e-10
"ENSMUSG00000029703","Lrwd1",-0.871025001033943,3.55178240770417e-42,3323.19309082773,"Lrwd1",1,"RI",0.229,-0.229,1.23698917799047e-05
"ENSMUSG00000032135","Mcam",0.836818635791401,1.4272102764128e-39,4788.09339366292,"Mcam",1,"SE",0.102,-0.102,8.62542247364813e-12
"ENSMUSG00000007050","Lsm2",0.945075516008355,4.91324495266622e-39,2325.33218845257,"Lsm2",1,"SE",0.523,0.523,0.00173118323359718
"ENSMUSG00000021557","Agtpbp1",0.661115520055516,1.21838514424092e-37,4728.93048451383,"Agtpbp1",2,"SE,MXE",0.114,0.114,2.134314874085e-05
"ENSMUSG00000031808","Slc27a1",-0.977623614650785,3.20394982718311e-36,5893.29504555848,"Slc27a1",1,"SE",0.398,-0.398,0.00455700990528747
