"gene_id","gene_symbol","DE_log2FC","DE_padj","DE_baseMean","GeneSymbol","splicing_n_events","splicing_event_types","splicing_max_abs_dPSI","splicing_best_dPSI","splicing_min_FDR"
"ENSMUSG00000063659","Zbtb18",-0.594203404487616,9.51145066886712e-36,10889.0900752559,"Zbtb18",1,"SE",0.268,0.268,0.00521994367501829
"ENSMUSG00000028184","Adgrl2",-0.655798027585618,3.20539580784526e-35,10059.4751853019,"Adgrl2",3,"SE,A3SS",0.639,-0.639,2.75212031095613e-05
"ENSMUSG00000073888","Ccl27a",-2.69376716326535,3.30626172414217e-35,131.744741395032,"Ccl27a",2,"A3SS",0.128,0.128,0.035028989718544
"ENSMUSG00000029192","Tbc1d14",0.783612201583005,6.46870966510921e-35,3920.57715118032,"Tbc1d14",1,"SE",0.102,0.102,0.000426652540972919
"ENSMUSG00000024044","Epb41l3",-0.612452687722311,1.12389418299736e-34,9193.26978809355,"Epb41l3",3,"SE,MXE",0.207,0.207,2.78321164807685e-09
"ENSMUSG00000022488","Nckap1l",1.0124041568805,2.88359673916042e-34,1443.79735193252,"Nckap1l",1,"RI",0.115,-0.115,0.00127917606604645
"ENSMUSG00000036466","Megf11",1.15003554670263,7.03365680214014e-34,753.426764382251,"Megf11",1,"RI",0.237,-0.237,0.000250868164772713
"ENSMUSG00000001844","Zdhhc4",-1.15223393204328,3.50268872708571e-33,1589.63485974577,"Zdhhc4",1,"SE",0.104,-0.104,0.027266897431278
"ENSMUSG00000040746","Rnf167",-0.736336684179179,3.53734995306951e-33,2193.07376863549,"Rnf167",1,"RI",0.104,0.104,2.14730058695671e-05
"ENSMUSG00000021952","Xpo4",0.853210488892318,5.12053345023821e-33,4522.10165897165,"Xpo4",2,"SE",0.116,-0.116,1.36912286710113e-05
"ENSMUSG00000006527","Sfmbt1",-1.26485311960395,3.92340284240314e-32,569.152138437028,"Sfmbt1",1,"SE",0.659,0.659,5.56687500957937e-09
"ENSMUSG00000025597","Klhl4",2.37041502235033,5.28140990873329e-32,132.118968607376,"Klhl4",1,"A5SS",0.219,0.219,0.000637135248355965
"ENSMUSG00000057193","Slc44a2",-0.68858625508113,1.64290656776888e-30,4877.25516276006,"Slc44a2",2,"SE",0.141,-0.141,0.000324252768748665
"ENSMUSG00000022871","Fetub",-1.8033960630578,1.98388480440532e-30,2535.48926382053,"Fetub",1,"SE",0.129,-0.129,0.0134795321284867
"ENSMUSG00000032596","Uba7",1.76106040057363,2.16998903804499e-30,221.349377036772,"Uba7",2,"SE,A5SS",0.127,-0.127,0.0150712820415187
"ENSMUSG00000035392","Dennd1a",-0.770460856466369,4.87980689857642e-30,3065.48567910515,"Dennd1a",2,"SE,MXE",0.424,0.424,3.9142416671835e-07
"ENSMUSG00000028560","Usp1",0.776493714533878,1.02860238773236e-29,4710.58507507189,"Usp1",2,"SE",0.14,-0.14,0.00353017599364078
"ENSMUSG00000018411","Mapt",-0.694165933527197,1.05916746952952e-29,26708.1730323811,"Mapt",1,"SE",0.106,-0.106,0.000403796173752374
"ENSMUSG00000020598","Nrcam",-1.04130956435209,1.42543085928021e-29,1095.22406485668,"Nrcam",1,"SE",0.228,0.228,0.00465454392028151
"ENSMUSG00000051235","Gen1",1.06398876365137,3.81322260176229e-29,1485.02008233323,"Gen1",1,"SE",0.11,-0.11,0.00311500915225809
"ENSMUSG00000041115","Iqsec2",-0.763596302234869,1.2767242992624e-28,2863.26462830701,"Iqsec2",2,"SE,MXE",0.183,0.183,0.0212813891506949
"ENSMUSG00000033633","Clec18a",0.772418093069709,6.14168031650137e-28,1613.18491749247,"Clec18a",1,"SE",0.155,-0.155,0.0367531058948806
"ENSMUSG00000037907","Ankrd13b",-0.681675276546171,1.9547543648529e-27,6380.23433850872,"Ankrd13b",1,"SE",0.206,-0.206,1.6255326309285e-06
"ENSMUSG00000038618","Rassf7",1.11151412005534,2.61617241685173e-27,588.236094613497,"Rassf7",2,"A3SS,MXE",0.135,-0.135,4.60210421598813e-06
"ENSMUSG00000079109","Pms2",-0.765670034464001,7.60806816315451e-27,2598.75342306333,"Pms2",2,"SE",0.174,0.174,0.0013472847626552
"ENSMUSG00000045659","Plekha7",-0.763536804416691,1.22914916133963e-26,1710.49768046912,"Plekha7",2,"SE,A3SS",0.147,-0.147,7.27669655851999e-05
"ENSMUSG00000042323","Pbrm1",0.529053962475528,1.4672092432666e-26,9154.87516130764,"Pbrm1",1,"SE",0.157,0.157,4.78855602129256e-06
"ENSMUSG00000074404","ENSMUSG00000074404",3.0460892047426,1.50304563095271e-26,95.5218363215954,"Gm1698",1,"SE",0.119,-0.119,0.00118080113205882
"ENSMUSG00000035293","G2e3",0.6607824010343,1.59388315905444e-26,4218.13712131759,"G2e3",1,"SE",0.122,0.122,7.76260612635372e-05
"ENSMUSG00000027634","Ndrg3",-0.616282545751043,1.7573587521195e-26,3704.88462277542,"Ndrg3",1,"SE",0.112,-0.112,0.0232429077591992
"ENSMUSG00000020400","Tnip1",0.714213873514099,8.78178038714925e-26,4041.7798689455,"Tnip1",2,"SE",0.318,-0.318,1.59797106774809e-08
"ENSMUSG00000039318","Rab3gap2",-0.582889462588087,1.34369810578077e-25,5130.94699419534,"Rab3gap2",2,"A5SS,RI",0.204,-0.204,7.90009088905607e-07
"ENSMUSG00000087403","Kantr",-0.923884804770393,3.00077132430679e-25,1278.40156270391,"Kantr",1,"SE",0.119,0.119,9.93743443877773e-05
"ENSMUSG00000025358","Cdk2",0.751309438818064,3.2330017804135e-25,4903.90474624557,"Cdk2",1,"SE",0.143,-0.143,0.000789984149410358
"ENSMUSG00000024238","Zeb1",-0.517937461639367,6.26942897616219e-25,4650.98989815889,"Zeb1",2,"SE",0.362,0.362,0.000299375927931059
"ENSMUSG00000043384","Gprasp1",-0.783140874849131,8.91665384940667e-25,20325.2616080657,"Gprasp1",1,"SE",0.131,-0.131,0.00126677701305995
"ENSMUSG00000025747","Tyms",0.665913397194832,4.09467511384628e-24,2728.50466212008,"Tyms",1,"RI",0.117,-0.117,0.001208001783098
"ENSMUSG00000024381","Bin1",-0.556944319587287,4.41015457015712e-24,10450.5529932295,"Bin1",1,"SE",0.108,-0.108,0.00428096080427044
"ENSMUSG00000022973","Synj1",0.504426153360134,4.81862379377318e-24,6609.34997625925,"Synj1",3,"SE,MXE",0.339,-0.339,0.00520790593001812
"ENSMUSG00000040433","Zbtb38",0.618998450625009,5.7201442027728e-24,5363.24897756614,"Zbtb38",1,"SE",0.167,-0.167,0.00117144689922688
"ENSMUSG00000036528","Ppfibp2",-0.651307920756033,2.51993897962048e-23,10570.7285014388,"Ppfibp2",1,"SE",0.173,-0.173,8.83557567739007e-09
"ENSMUSG00000029490","Slc49a3",1.84278593252296,2.58143753508724e-23,228.311427553114,"Mfsd7a",2,"SE",0.158,-0.158,0.00241718195434251
"ENSMUSG00000033166","Dis3",0.725178051234847,2.8191779315069e-23,3056.98730912178,"Dis3",1,"SE",0.219,-0.219,1.35049985129328e-07
"ENSMUSG00000059772","Slx1b",-0.90497308583979,4.42505380436989e-23,1549.61898411712,"Slx1b",1,"RI",0.103,0.103,6.75226914789562e-08
"ENSMUSG00000050565","Tor1aip2",0.577575301601936,1.37975638495265e-22,7545.46063232403,"Tor1aip2",1,"SE",0.149,-0.149,0.0268276814650858
"ENSMUSG00000031642","Sh3rf1",0.770389600936833,1.70087784161675e-22,4059.9418482909,"Sh3rf1",1,"MXE",0.159,-0.159,0.00954255171745772
"ENSMUSG00000000530","Acvrl1",-1.08843351872252,7.88747349152731e-22,736.528005255888,"Acvrl1",1,"A3SS",0.24,-0.24,0.00243739697783191
"ENSMUSG00000037126","Psd",-0.540392433439702,8.38660676414945e-22,7691.04285117432,"Psd",2,"SE",0.39,0.39,0.000580795420531676
"ENSMUSG00000020886","Dlg4",-0.684007391144681,8.66829892119983e-22,22840.036677622,"Dlg4",1,"SE",0.113,-0.113,3.27858978903823e-11
"ENSMUSG00000022607","Ptk2",0.559842252976727,1.64509752437479e-21,7205.76495864516,"Ptk2",2,"SE",0.213,-0.213,0.000708122398640792
"ENSMUSG00000038371","Sbf2",-0.530257401396794,2.58345877970146e-21,8057.60225210719,"Sbf2",1,"SE",0.145,0.145,0.00122360458967463
"ENSMUSG00000027692","Tnik",-0.487637011505322,3.87702342346283e-21,10649.4181719825,"Tnik",1,"SE",0.251,-0.251,0
"ENSMUSG00000027655","Dhx35",-0.670036967972509,7.2812495314023e-21,3491.53045643631,"Dhx35",1,"RI",0.142,-0.142,0.000125760617536455
"ENSMUSG00000027646","Src",-0.635808449180862,8.94831031323658e-21,3539.94598839449,"Src",1,"SE",0.362,0.362,0.00499029436401678
"ENSMUSG00000037112","Sik2",0.898010242133037,1.2419604936381e-20,658.569287256526,"Sik2",1,"RI",0.124,0.124,2.36777002988235e-05
"ENSMUSG00000031805","Jak3",1.03980157446406,1.45541668590592e-20,489.002316819594,"Jak3",1,"SE",0.228,-0.228,0.0359976827296529
"ENSMUSG00000068329","Htra2",-0.642789437033602,1.68553251672686e-20,5539.98498574377,"Htra2",1,"SE",0.108,-0.108,0.000580175684369423
"ENSMUSG00000029290","Zfp326",0.656601057922946,2.57916022448462e-20,5626.76873118357,"Zfp326",2,"SE",0.167,0.167,9.69626882106986e-07
"ENSMUSG00000036639","Nudt1",-0.823881385460982,2.79876976552855e-20,1453.08936662121,"Nudt1",1,"SE",0.152,0.152,0.0485827056100653
"ENSMUSG00000062785","Kcnc3",-0.774244452045495,2.79876976552855e-20,1768.89181245196,"Kcnc3",3,"SE,A3SS",0.435,0.435,0.00166340438975306
"ENSMUSG00000029636","Wasf3",-0.602719167467874,3.08236505766229e-20,8221.33333262049,"Wasf3",1,"SE",0.162,-0.162,0.000281154846829423
"ENSMUSG00000016346","Kcnq2",-0.502328425976687,4.41766789187069e-20,11381.6863174881,"Kcnq2",1,"A5SS",0.175,-0.175,0.0292421733105819
"ENSMUSG00000117916","9630028I04Rik",1.29076993505577,5.04722112946134e-20,399.180355925743,"9630028I04Rik",1,"RI",0.148,-0.148,0.0153936369707447
"ENSMUSG00000060206","Zfp462",-0.504424739504924,5.62564743239707e-20,8926.71623803336,"Zfp462",2,"A3SS",0.172,0.172,2.16885681068928e-07
"ENSMUSG00000022210","Dhrs4",0.769560878637185,5.85988141569709e-20,1273.33526765582,"Dhrs4",1,"SE",0.575,0.575,0.0321214984473173
"ENSMUSG00000025220","Oga",-0.438508433322994,1.75525274100007e-19,12151.4348663264,"Oga",1,"A5SS",0.237,-0.237,1.40740121613721e-05
"ENSMUSG00000021013","Ttc8",0.650872093861678,2.41458164734823e-19,2047.2398381327,"Ttc8",1,"SE",0.444,-0.444,0.000464670395864923
"ENSMUSG00000020151","Ptprr",1.85447395659177,2.78922494781846e-19,136.795337176073,"Ptprr",1,"SE",0.383,0.383,0.027266897431278
"ENSMUSG00000038831","Ralgps1",-0.563397253555719,4.53297922781185e-19,4405.90952930378,"Ralgps1",1,"SE",0.301,0.301,9.76846588459116e-05
"ENSMUSG00000028411","Aptx",-0.540454775164031,5.57796718292468e-19,1994.94088288658,"Aptx",1,"MXE",0.118,-0.118,0.0279830519038513
"ENSMUSG00000042662","Dusp15",-1.49105656076984,1.01337475384897e-18,251.989715775026,"Dusp15",1,"SE",0.16,-0.16,0.0201650030879798
"ENSMUSG00000021782","Dlg5",0.494495696570431,1.17571505689291e-18,4159.54824859876,"Dlg5",1,"SE",0.166,0.166,0.00344425703798802
"ENSMUSG00000030092","Cntn6",-2.10397781641994,1.51806325879317e-18,121.696156054601,"Cntn6",1,"SE",0.264,0.264,0.00078824489646216
"ENSMUSG00000032254","Kif23",0.620589625586212,1.60408451797984e-18,5377.63312595106,"Kif23",1,"SE",0.116,-0.116,1.52258408607502e-05
"ENSMUSG00000037458","Azin1",0.479902069456817,2.08553311302722e-18,13457.850855927,"Azin1",1,"SE",0.111,-0.111,2.2074843603236e-11
"ENSMUSG00000036167","Pphln1",0.478527988340881,2.30912155098025e-18,7060.25507352148,"Pphln1",2,"SE",0.406,-0.406,0.0238952701087668
"ENSMUSG00000026087","Mrpl30",-0.493321843294533,3.32033883091242e-18,9657.80720892585,"Mrpl30",1,"SE",0.162,0.162,0.000671565385452643
"ENSMUSG00000031774","Psme3ip1",0.496112972352927,3.37173988861767e-18,3320.77846415884,"Psme3ip1",3,"SE",0.423,0.423,0.000215644864294916
"ENSMUSG00000002265","Peg3",-0.832260998129938,4.2810142642444e-18,36413.1682498536,"Peg3",1,"SE",0.117,-0.117,3.46648557811692e-11
"ENSMUSG00000022565","Plec",0.47544050298505,6.90109226816333e-18,41879.5086477554,"Plec",1,"A3SS",0.571,0.571,0.033377197501534
"ENSMUSG00000020604","Arsg",-0.820230876811689,8.14612467549079e-18,2015.26693006142,"Arsg",1,"SE",0.174,-0.174,0.0280391945393447
"ENSMUSG00000032366","Tpm1",0.48277837436499,1.19667137841563e-17,5984.53175391458,"Tpm1",1,"SE",0.119,-0.119,2.86887743997485e-07
"ENSMUSG00000040860","Crocc",-0.742869683459112,1.28350942874186e-17,5851.44866795018,"Crocc",1,"RI",0.118,-0.118,0.00482530928699568
"ENSMUSG00000026196","Bard1",0.616196517975796,1.54475626867435e-17,1800.1918964231,"Bard1",1,"SE",0.111,0.111,0.0355348850923673
"ENSMUSG00000046822","Slc39a3",-0.68999885296131,2.02689234211788e-17,2358.73808406292,"Slc39a3",1,"SE",0.104,0.104,7.17127952507686e-05
"ENSMUSG00000052142","Rasal3",-0.521113154491142,2.87956515092397e-17,3033.42105654528,"Rasal3",1,"RI",0.168,0.168,7.05291243055022e-09
"ENSMUSG00000039804","Ncoa5",0.480408204853975,3.58310814130989e-17,6890.35732078504,"Ncoa5",2,"SE",0.228,0.228,0
"ENSMUSG00000034664","Itga2b",-0.986487402917067,4.27036730911594e-17,859.723738705926,"Itga2b",3,"A3SS,RI",0.22,0.22,0.000824218887615408
"ENSMUSG00000010066","Cacna2d2",2.17811718372838,4.68721132481018e-17,78.8467066853577,"Cacna2d2",1,"A3SS",0.393,0.393,0.000653313495696103
"ENSMUSG00000074758","Gm5535",0.599206386088045,5.24781801169341e-17,1594.58042332555,"Gm5535",1,"SE",0.112,-0.112,0.0179936982214332
"ENSMUSG00000031967","Afg3l1",-0.476592897982571,6.48278306256741e-17,10043.6428834864,"Afg3l1",1,"SE",0.152,-0.152,0.0151916206800801
"ENSMUSG00000039221","Rpl22l1",-1.12739276407187,8.50090328263343e-17,743.517656154866,"Rpl22l1",1,"A3SS",0.151,-0.151,0
"ENSMUSG00000090841","Myl6",0.458414594883219,1.17628848182613e-16,20927.3372033786,"Myl6",3,"SE,RI",0.173,-0.173,7.97908251539013e-06
"ENSMUSG00000019944","Rhobtb1",0.648074376360392,1.20695109506811e-16,1160.79896360803,"Rhobtb1",1,"SE",0.108,0.108,2.91192174539669e-09
"ENSMUSG00000024118","Tedc2",0.733857752136084,2.70380015519654e-16,1305.80644039868,"Tedc2",1,"RI",0.124,0.124,1.98098411029409e-05
"ENSMUSG00000024357","Sil1",-0.612923945715719,3.27076935298009e-16,2538.62743999429,"Sil1",1,"SE",0.22,-0.22,0.00255092158469026
"ENSMUSG00000025261","Huwe1",-0.428424565021405,3.66072249490225e-16,60154.3049558253,"Huwe1",2,"SE",0.108,-0.108,0.00398028504742425
"ENSMUSG00000020831","0610010K14Rik",-0.688954083206489,5.25251018107042e-16,6745.81920550555,"0610010K14Rik",2,"SE",0.159,-0.159,3.06102830770282e-11
"ENSMUSG00000045031","Cetn4",-1.10414133512835,7.57524278259199e-16,312.883448540114,"Cetn4",1,"SE",0.104,-0.104,0.0142345202014563
"ENSMUSG00000040557","Mettl27",-0.762437616682103,8.84481702994749e-16,819.053619122687,"Mettl27",1,"SE",0.124,0.124,0.00249290331396489
"ENSMUSG00000029359","Tesc",-0.496805649768019,9.76290386779733e-16,7499.50596542878,"Tesc",1,"RI",0.138,0.138,3.30084128684116e-06
"ENSMUSG00000040528","Milr1",0.648972324507872,1.34120658203927e-15,2096.45249685149,"Milr1",1,"SE",0.104,0.104,0.0012954534152141
"ENSMUSG00000023206","Il15ra",-1.34357279158495,1.71323665650531e-15,269.261413707112,"Il15ra",2,"SE,A5SS",0.18,-0.18,0.00242484327779055
"ENSMUSG00000034327","Kctd9",0.562092488684271,1.75942945453498e-15,2026.6751642193,"Kctd9",1,"SE",0.127,-0.127,0.000156936457596239
"ENSMUSG00000062991","Nrg1",-0.63634820267461,2.45252754586418e-15,1019.18645213686,"Nrg1",1,"SE",0.118,0.118,0.00165103499742698
"ENSMUSG00000039599","Fam149b",0.536903063885504,2.84658828062716e-15,1578.00840766603,"Fam149b",2,"SE",0.29,0.29,0.0020771240332951
"ENSMUSG00000062014","Gmfb",0.593411259666356,3.10776705919199e-15,7577.72168986701,"Gmfb",1,"SE",0.148,0.148,0.00994051907460525
"ENSMUSG00000061778","Mospd2",-0.731867915547681,3.66463740213752e-15,3316.75272958271,"Mospd2",1,"SE",0.701,0.701,0.0126655481659505
"ENSMUSG00000071350","Setdb2",0.730826625956868,4.0599626611993e-15,918.267350272387,"Setdb2",1,"SE",0.143,-0.143,0.0187496294356443
"ENSMUSG00000052613","Pcdh15",-0.667245796571538,4.79345161679723e-15,1085.06864636804,"Pcdh15",2,"SE,MXE",0.177,0.177,0.00878683206636312
"ENSMUSG00000062604","Srpk2",-0.451166549681154,4.91010305526369e-15,10389.835459566,"Srpk2",2,"SE,MXE",0.128,0.128,5.76005833718742e-06
"ENSMUSG00000024998","Plce1",-0.842184338850707,5.03229156339504e-15,1725.37791286883,"Plce1",1,"SE",0.132,0.132,0.0160454843612692
"ENSMUSG00000047656","Trpt1",-0.888685796993674,5.36685566402676e-15,657.273911785171,"Trpt1",1,"SE",0.104,-0.104,0.0112883827264141
"ENSMUSG00000034570","Inpp5j",-0.870888508658243,6.09169860710136e-15,972.376751669009,"Inpp5j",1,"RI",0.3,-0.3,4.22146584986283e-05
"ENSMUSG00000026646","Suv39h2",0.612532427412974,6.59699516059668e-15,1403.87235080808,"Suv39h2",1,"SE",0.109,0.109,0.0105441807002057
"ENSMUSG00000005534","Insr",-0.415616791475914,1.16658880753845e-14,11455.2997823082,"Insr",1,"SE",0.227,-0.227,0.0304733487941046
"ENSMUSG00000051331","Cacna1c",-0.416796637901867,1.28991655090923e-14,4746.78926380346,"Cacna1c",2,"SE",0.16,0.16,0.0108050767654745
"ENSMUSG00000008435","Rdh13",0.528248078530127,1.43427768449051e-14,2610.11331384481,"Rdh13",1,"SE",0.181,0.181,5.39453251717858e-11
"ENSMUSG00000003355","Fkbp11",-0.588308789920071,2.28322226113726e-14,1783.30163326053,"Fkbp11",1,"RI",0.216,0.216,0.000437758484147866
"ENSMUSG00000041132","N4bp2l1",-0.862369895896808,2.87282989158454e-14,799.21163985151,"N4bp2l1",1,"SE",0.314,0.314,0.00965192067906861
"ENSMUSG00000022906","Parp9",0.713347427413601,5.85981494389765e-14,614.230800020966,"Parp9",2,"SE",0.132,-0.132,0.00104738931037367
"ENSMUSG00000025507","Pidd1",0.556425666566634,7.57540994805342e-14,1403.4140168098,"Pidd1",1,"RI",0.124,0.124,0.00100886307385364
"ENSMUSG00000030592","Ryr1",-0.945487283824722,7.75361078851296e-14,1400.11612420313,"Ryr1",1,"SE",0.234,-0.234,0.0417691578307347
"ENSMUSG00000006301","Tmbim1",0.472982146341503,9.76688569048812e-14,2953.47690898056,"Tmbim1",1,"RI",0.15,-0.15,0.000117412888754149
"ENSMUSG00000021198","Unc79",0.383454564822694,1.09132392320552e-13,5650.47157144468,"Unc79",2,"SE,MXE",0.207,0.207,0.00034617362384999
"ENSMUSG00000028782","Adgrb2",0.549289805095588,1.24736730483557e-13,2422.26411042851,"Adgrb2",2,"SE",0.121,-0.121,0.013335603334508
"ENSMUSG00000068744","Psrc1",-0.685915815032229,1.42460193934563e-13,1600.09320505866,"Psrc1",1,"RI",0.113,0.113,3.10346637278388e-11
"ENSMUSG00000018986","Slfn3",0.700405120659293,1.97217126097506e-13,1103.82761986426,"Slfn3",1,"SE",0.157,-0.157,0.0137099304565292
"ENSMUSG00000034949","Zfr2",-0.597225462436692,2.0198923975659e-13,2338.59191998689,"Zfr2",4,"SE",0.423,0.423,0.00177990771697951
"ENSMUSG00000047021","Cfap65",-1.53113663133305,2.50588006315027e-13,326.065732505158,"Cfap65",1,"SE",0.267,0.267,0.0013713489946869
"ENSMUSG00000021901","Bap1",0.532421549384993,2.67659721143686e-13,5664.84169495706,"Bap1",1,"RI",0.105,-0.105,0.0261779240667228
"ENSMUSG00000024660","Incenp",0.439019074298345,2.79974753426425e-13,6837.49015696573,"Incenp",1,"SE",0.139,-0.139,0.000413627253948577
"ENSMUSG00000068921","Dap3",-0.372782331200669,3.2241433723947e-13,11620.3647580548,"Dap3",2,"SE",0.209,-0.209,0.00278481133981347
"ENSMUSG00000055296","Tmem245",-0.453000936347208,3.36573011221349e-13,5315.79599702127,"Tmem245",1,"SE",0.118,-0.118,0.00522775807558244
"ENSMUSG00000055681","Cope",-0.36963235256807,3.46551789729512e-13,8350.21702126027,"Cope",1,"SE",0.45,0.45,0.00337958125874857
"ENSMUSG00000035578","Iqcg",1.5404898971888,4.36400956816379e-13,107.176854626829,"Iqcg",1,"MXE",0.379,0.379,0.00056435821936865
"ENSMUSG00000042050","Dync2i1",1.1902970023003,5.33670394765005e-13,257.42850147485,"Dync2i1",1,"A5SS",0.166,-0.166,0.00050872138690658
"ENSMUSG00000027680","Fxr1",-0.534075448621813,7.87310646286722e-13,22190.7563428646,"Fxr1",1,"SE",0.195,-0.195,0.00299724630693167
"ENSMUSG00000058318","Phf21a",-0.356897513262837,8.04819017530707e-13,6985.87257193358,"Phf21a",1,"SE",0.371,-0.371,0.00151611248659623
"ENSMUSG00000006649","Nphs1",-0.890511647932415,8.25593701827455e-13,699.061328439676,"Nphs1",1,"SE",0.66,0.66,2.10999859547807e-06
"ENSMUSG00000062995","Ica1",-0.34100647851316,1.06561781590311e-12,7841.14173637337,"Ica1",1,"SE",0.145,0.145,0.00221028988336715
"ENSMUSG00000097080","1700086O06Rik",0.506911313572306,1.12841240437843e-12,1632.3080488972,"1700086O06Rik",3,"SE",0.557,0.557,0.0187567110992075
"ENSMUSG00000014856","Tmem208",0.436567514689246,1.27034467713709e-12,4738.49021393804,"Tmem208",1,"SE",0.115,-0.115,0.00273479607843487
"ENSMUSG00000057054","Inca1",-1.31472517119535,1.38991167815053e-12,193.980343024205,"Inca1",2,"A5SS",0.264,0.264,4.87771102616526e-05
"ENSMUSG00000029635","Cdk8",-0.408201883149793,1.4535811299308e-12,5927.22080128117,"Cdk8",1,"SE",0.108,0.108,0.00118110447772797
"ENSMUSG00000086158","Pierce2",-1.0292540213164,1.52615159471904e-12,239.269204009299,"Pierce2",1,"SE",0.327,-0.327,0.00530686187870549
"ENSMUSG00000034165","Ccnd3",0.380334600413374,1.55566075692482e-12,3934.31750580196,"Ccnd3",2,"SE",0.459,-0.459,2.60494763604433e-06
"ENSMUSG00000024843","Chka",-0.417775075130936,1.9191110573941e-12,3951.86807474207,"Chka",1,"SE",0.189,0.189,2.48156497784027e-10
"ENSMUSG00000028478","Clta",-0.42780376523768,2.61701130764121e-12,10841.2472779793,"Clta",3,"SE,MXE",0.163,-0.163,3.8033839643605e-12
